family,value,topology,trial,beta,gamma,fraction,strategy,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
ws_rewire,0.01,WS,2,0.15,0.05,0.05,random,11.0,30.0,1.0,1.0,332.0,0.95,18147.0,0.945,7025.0,6080.0,945.0,167.0,0.05
ws_rewire,0.01,WS,2,0.15,0.05,0.05,degree,12.0,96.0,1.0,1.0,109.0,0.835,16920.0,0.833,6209.0,5376.0,830.0,407.0,0.05
ws_rewire,0.01,WS,2,0.15,0.05,0.05,betweenness,11.0,44.0,1.0,1.0,230.0,0.854,17259.0,0.86,6059.0,5199.0,849.0,236.0,0.05
ws_rewire,0.01,WS,2,0.15,0.05,0.05,pagerank,12.0,,1.0,0.0,118.0,0.45,9152.0,0.448,3269.0,2821.0,445.0,216.0,0.05
ws_rewire,0.01,WS,2,0.15,0.05,0.05,eigenvector,14.0,43.0,1.0,1.0,258.0,0.874,17283.0,0.873,6869.0,5996.0,869.0,230.0,0.05
ws_rewire,0.01,WS,2,0.15,0.05,0.05,kcore,11.0,69.0,1.0,1.0,137.0,0.904,18204.0,0.905,6672.0,5767.0,899.0,285.0,0.05
ws_rewire,0.01,WS,2,0.15,0.05,0.05,collective_influence,12.0,87.0,1.0,1.0,123.0,0.95,18777.0,0.945,6916.0,5971.0,945.0,466.0,0.05
ws_rewire,0.01,WS,2,0.15,0.05,0.05,community_bridge,14.0,79.0,1.0,1.0,148.0,0.579,11791.0,0.578,4205.0,3627.0,574.0,223.0,0.05
ws_rewire,0.01,WS,2,0.02,0.05,0.05,random,,,0.0,0.0,9.0,0.031,406.0,0.061,987.0,926.0,26.0,88.0,0.05
ws_rewire,0.01,WS,2,0.02,0.05,0.05,degree,,,0.0,0.0,6.0,0.009,109.0,0.035,508.0,473.0,4.0,47.0,0.05
ws_rewire,0.01,WS,2,0.02,0.05,0.05,betweenness,,,0.0,0.0,6.0,0.011,188.0,0.037,754.0,717.0,6.0,75.0,0.05
ws_rewire,0.01,WS,2,0.02,0.05,0.05,pagerank,,,0.0,0.0,8.0,0.02,236.0,0.053,909.0,856.0,15.0,48.0,0.05
ws_rewire,0.01,WS,2,0.02,0.05,0.05,eigenvector,,,0.0,0.0,19.0,0.042,641.0,0.077,1777.0,1700.0,37.0,105.0,0.05
ws_rewire,0.01,WS,2,0.02,0.05,0.05,kcore,,,0.0,0.0,12.0,0.044,923.0,0.071,1887.0,1816.0,39.0,136.0,0.05
ws_rewire,0.01,WS,2,0.02,0.05,0.05,collective_influence,,,0.0,0.0,23.0,0.064,1241.0,0.092,2314.0,2222.0,59.0,181.0,0.05
ws_rewire,0.01,WS,2,0.02,0.05,0.05,community_bridge,,,0.0,0.0,19.0,0.045,785.0,0.081,1935.0,1854.0,40.0,121.0,0.05
ws_rewire,0.01,WS,5,0.15,0.05,0.05,random,18.0,66.0,1.0,1.0,254.0,0.949,17663.0,0.945,7105.0,6160.0,944.0,241.0,0.05
ws_rewire,0.01,WS,5,0.15,0.05,0.05,degree,11.0,54.0,1.0,1.0,168.0,0.806,15611.0,0.805,6128.0,5323.0,801.0,192.0,0.05
ws_rewire,0.01,WS,5,0.15,0.05,0.05,betweenness,13.0,76.0,1.0,1.0,136.0,0.948,18320.0,0.945,7059.0,6114.0,943.0,341.0,0.05
ws_rewire,0.01,WS,5,0.15,0.05,0.05,pagerank,12.0,164.0,1.0,1.0,135.0,0.595,11671.0,0.602,4672.0,4070.0,590.0,364.0,0.05
ws_rewire,0.01,WS,5,0.15,0.05,0.05,eigenvector,13.0,49.0,1.0,1.0,304.0,0.921,18337.0,0.922,6837.0,5915.0,916.0,189.0,0.05
ws_rewire,0.01,WS,5,0.15,0.05,0.05,kcore,14.0,,1.0,0.0,109.0,0.491,10560.0,0.489,3444.0,2955.0,486.0,185.0,0.05
ws_rewire,0.01,WS,5,0.15,0.05,0.05,collective_influence,18.0,76.0,1.0,1.0,139.0,0.95,18565.0,0.945,7148.0,6203.0,945.0,442.0,0.05
ws_rewire,0.01,WS,5,0.15,0.05,0.05,community_bridge,9.0,61.0,1.0,1.0,151.0,0.592,11789.0,0.593,4477.0,3884.0,587.0,224.0,0.05
ws_rewire,0.01,WS,5,0.02,0.05,0.05,random,,,0.0,0.0,12.0,0.035,833.0,0.06,1730.0,1670.0,30.0,165.0,0.05
