topology,trial,strategy,ranking_seconds,n,edges
BA,15,kcore,0.0025087380000172743,1000,2991
BA,15,pagerank,0.004295259000002716,1000,2991
BA,16,betweenness,0.3023987409999904,1000,2991
BA,16,collective_influence,0.07574966799995764,1000,2991
BA,16,community_bridge,0.9221454569999992,1000,2991
BA,16,degree,0.0007116520000067794,1000,2991
BA,16,eigenvector,0.024386379000020497,1000,2991
BA,16,kcore,0.002507927000010568,1000,2991
BA,16,pagerank,0.06095957200000157,1000,2991
BA,17,betweenness,0.2936006500000303,1000,2991
BA,17,collective_influence,0.022406356999965737,1000,2991
BA,17,community_bridge,0.872543281999981,1000,2991
BA,17,degree,0.0006735050000088449,1000,2991
BA,17,eigenvector,0.0716014009999526,1000,2991
BA,17,kcore,0.003031114999998863,1000,2991
BA,17,pagerank,0.004220525999983238,1000,2991
BA,18,betweenness,0.28998136900003146,1000,2991
BA,18,collective_influence,0.02089042399995833,1000,2991
BA,18,community_bridge,0.7709534360000134,1000,2991
BA,18,degree,0.0006316110000170738,1000,2991
BA,18,eigenvector,0.07435494800000697,1000,2991
BA,18,kcore,0.002550051000014264,1000,2991
BA,18,pagerank,0.0040603049999958785,1000,2991
BA,19,betweenness,0.30885492499999145,1000,2991
BA,19,collective_influence,0.021590127000024495,1000,2991
BA,19,community_bridge,0.7055072429999996,1000,2991
BA,19,degree,0.0006453519999922719,1000,2991
BA,19,eigenvector,0.07779770700000199,1000,2991
BA,19,kcore,0.0025190740000198275,1000,2991
BA,19,pagerank,0.0042221790000098736,1000,2991
BA,20,betweenness,0.3628010279999785,1000,2991
BA,20,collective_influence,0.07172004900002094,1000,2991
BA,20,community_bridge,0.7183954749999657,1000,2991
BA,20,degree,0.000705593000020599,1000,2991
BA,20,eigenvector,0.02102218200002426,1000,2991
BA,20,kcore,0.00247562800001333,1000,2991
BA,20,pagerank,0.004787199999952918,1000,2991
BA,21,betweenness,0.3021482999999989,1000,2991
BA,21,collective_influence,0.07934075600002188,1000,2991
BA,21,community_bridge,0.8275782100000129,1000,2991
BA,21,degree,0.0006642909999641233,1000,2991
BA,21,eigenvector,0.023936310999999932,1000,2991
BA,21,kcore,0.002585854000017207,1000,2991
BA,21,pagerank,0.05659711100003051,1000,2991
BA,22,betweenness,0.29661658300000227,1000,2991
BA,22,collective_influence,0.021466652000015074,1000,2991
BA,22,community_bridge,0.8066666089999899,1000,2991
BA,22,degree,0.0009044329999596812,1000,2991
BA,22,eigenvector,0.07484258200003069,1000,2991
BA,22,kcore,0.0025057440000182396,1000,2991
BA,22,pagerank,0.004209749999972701,1000,2991
BA,23,betweenness,0.30969689500000186,1000,2991
BA,23,collective_influence,0.07015372099999695,1000,2991
BA,23,community_bridge,0.9353517269999543,1000,2991
BA,23,degree,0.0006846109999969485,1000,2991
BA,23,eigenvector,0.024215853000043808,1000,2991
BA,23,kcore,0.002553917000000183,1000,2991
BA,23,pagerank,0.004167497000025833,1000,2991
BA,24,betweenness,0.394344770000032,1000,2991
BA,24,collective_influence,0.020478663999995206,1000,2991
BA,24,community_bridge,0.7828755219999834,1000,2991
BA,24,degree,0.0007016970000108813,1000,2991
BA,24,eigenvector,0.07819012700002759,1000,2991
BA,24,kcore,0.0028785659999925883,1000,2991
BA,24,pagerank,0.004268789999969158,1000,2991
BA,25,betweenness,0.3159638349999909,1000,2991
BA,25,collective_influence,0.020890603999987434,1000,2991
BA,25,community_bridge,0.9821617799999558,1000,2991
BA,25,degree,0.0010873469999523877,1000,2991
BA,25,eigenvector,0.07961617600000181,1000,2991
BA,25,kcore,0.00301816600000393,1000,2991
BA,25,pagerank,0.004772277999961716,1000,2991
BA,26,betweenness,0.37045310500002415,1000,2991
BA,26,collective_influence,0.07279489100000092,1000,2991
BA,26,community_bridge,0.8194028160000357,1000,2991
BA,26,degree,0.000668947000008302,1000,2991
BA,26,eigenvector,0.030512155999986135,1000,2991
BA,26,kcore,0.0029539590000240423,1000,2991
BA,26,pagerank,0.00411349500001279,1000,2991
BA,27,betweenness,0.29917847299998357,1000,2991
BA,27,collective_influence,0.07584170100000165,1000,2991
BA,27,community_bridge,0.8384655689999931,1000,2991
BA,27,degree,0.0006249909999951342,1000,2991
BA,27,eigenvector,0.07853733999996848,1000,2991
BA,27,kcore,0.0032541310000056,1000,2991
BA,27,pagerank,0.00423459799998227,1000,2991
BA,28,betweenness,0.36670705699998507,1000,2991
BA,28,collective_influence,0.07612750099997356,1000,2991
BA,28,community_bridge,0.820040989000006,1000,2991
BA,28,degree,0.0006764889999999468,1000,2991
BA,28,eigenvector,0.023217019000014716,1000,2991
BA,28,kcore,0.0026805869999861898,1000,2991
BA,28,pagerank,0.005677434999995512,1000,2991
BA,29,betweenness,0.2441426699999738,1000,2991
BA,29,collective_influence,0.07681744000001345,1000,2991
BA,29,community_bridge,0.8125803930000188,1000,2991
BA,29,degree,0.052949530999967465,1000,2991
BA,29,eigenvector,0.022836304999998447,1000,2991
BA,29,kcore,0.0026556800000321346,1000,2991
BA,29,pagerank,0.05670983400000296,1000,2991
BA,30,betweenness,0.3009006269999759,1000,2991
BA,30,collective_influence,0.021135393000008662,1000,2991
BA,30,community_bridge,0.7926917400000093,1000,2991
BA,30,degree,0.0006377299999940078,1000,2991
BA,30,eigenvector,0.07747694300002195,1000,2991
BA,30,kcore,0.0031234140000151456,1000,2991
BA,30,pagerank,0.004202139000028637,1000,2991
BA,31,betweenness,0.31436287300005006,1000,2991
BA,31,collective_influence,0.02177981400001272,1000,2991
BA,31,community_bridge,0.8669185159999984,1000,2991
BA,31,degree,0.0006520819999877858,1000,2991
BA,31,eigenvector,0.07423692300000084,1000,2991
BA,31,kcore,0.002569120000032399,1000,2991
BA,31,pagerank,0.004391424000004918,1000,2991
BA,32,betweenness,0.29774881000003006,1000,2991
BA,32,collective_influence,0.07504635700001927,1000,2991
BA,32,community_bridge,0.9163544280000337,1000,2991
BA,32,degree,0.0007586830000150258,1000,2991
BA,32,eigenvector,0.023969472000032965,1000,2991
BA,32,kcore,0.002871665000043322,1000,2991
BA,32,pagerank,0.00468065000001161,1000,2991
BA,33,betweenness,0.41033749700000044,1000,2991
BA,33,collective_influence,0.020678224999983286,1000,2991
BA,33,community_bridge,0.7951183569999785,1000,2991
BA,33,degree,0.0010432710000145562,1000,2991
BA,33,eigenvector,0.07399744299999611,1000,2991
BA,33,kcore,0.0025278779999666767,1000,2991
BA,33,pagerank,0.004218182999977671,1000,2991
BA,34,betweenness,0.3085322420000125,1000,2991
BA,34,collective_influence,0.024123684000016965,1000,2991
BA,34,community_bridge,0.9740561890000095,1000,2991
BA,34,degree,0.0006607349999967482,1000,2991
BA,34,eigenvector,0.07911243700004889,1000,2991
BA,34,kcore,0.0033687639999584462,1000,2991
BA,34,pagerank,0.00447382900000548,1000,2991
BA,35,betweenness,0.2972580809999954,1000,2991
BA,35,collective_influence,0.07023556600000802,1000,2991
BA,35,community_bridge,0.7137377580000361,1000,2991
BA,35,degree,0.0006876250000118489,1000,2991
BA,35,eigenvector,0.02512825700000576,1000,2991
BA,35,kcore,0.002501307000045472,1000,2991
BA,35,pagerank,0.005672454000034577,1000,2991
BA,36,betweenness,0.2451103719999992,1000,2991
BA,36,collective_influence,0.019578248000016174,1000,2991
BA,36,community_bridge,0.8738271999999938,1000,2991
BA,36,degree,0.0007150669999873571,1000,2991
BA,36,eigenvector,0.0184652820000224,1000,2991
BA,36,kcore,0.0025296000000025742,1000,2991
BA,36,pagerank,0.052681698000014876,1000,2991
BA,37,betweenness,0.2947778110000172,1000,2991
BA,37,collective_influence,0.07085962600001494,1000,2991
BA,37,community_bridge,0.9088297349999834,1000,2991
BA,37,degree,0.0006438399999524336,1000,2991
BA,37,eigenvector,0.021784882000019934,1000,2991
BA,37,kcore,0.002525943999955871,1000,2991
BA,37,pagerank,0.00413057100001879,1000,2991
BA,38,betweenness,0.29684505799997396,1000,2991
BA,38,collective_influence,0.07200782400002481,1000,2991
BA,38,community_bridge,0.8021467309999935,1000,2991
BA,38,degree,0.000654666000002635,1000,2991
BA,38,eigenvector,0.025153614999965157,1000,2991
BA,38,kcore,0.0024894590000030803,1000,2991
BA,38,pagerank,0.005148604999988038,1000,2991
BA,39,betweenness,0.2959753689999616,1000,2991
BA,39,collective_influence,0.02087242699997205,1000,2991
BA,39,community_bridge,0.7883662630000003,1000,2991
BA,39,degree,0.0006903999999963162,1000,2991
BA,39,eigenvector,0.02087025299999823,1000,2991
BA,39,kcore,0.002515379000044504,1000,2991
BA,39,pagerank,0.004345765999971718,1000,2991
BA,40,betweenness,0.3084075000000439,1000,2991
BA,40,collective_influence,0.021914305999985118,1000,2991
BA,40,community_bridge,0.9838117730000135,1000,2991
BA,40,degree,0.0007317820000025677,1000,2991
BA,40,eigenvector,0.0806295079999586,1000,2991
BA,40,kcore,0.0028268970000340232,1000,2991
BA,40,pagerank,0.0040839410000330645,1000,2991
BA,41,betweenness,0.2981510430000185,1000,2991
BA,41,collective_influence,0.0213842569999656,1000,2991
BA,41,community_bridge,0.9774285629999895,1000,2991
BA,41,degree,0.000650469999982306,1000,2991
BA,41,eigenvector,0.022511085000019193,1000,2991
BA,41,kcore,0.055523686000015005,1000,2991
BA,41,pagerank,0.00432364199997437,1000,2991
BA,42,betweenness,0.30573888000003535,1000,2991
BA,42,collective_influence,0.07418931899997006,1000,2991
BA,42,community_bridge,0.724597588999984,1000,2991
BA,42,degree,0.000734096000030604,1000,2991
BA,42,eigenvector,0.01917916599995806,1000,2991
BA,42,kcore,0.0024658540000359608,1000,2991
BA,42,pagerank,0.005225741000003836,1000,2991
BA,43,betweenness,0.24307339799997862,1000,2991
BA,43,collective_influence,0.07678519799998185,1000,2991
BA,43,community_bridge,0.805164848000004,1000,2991
BA,43,degree,0.0006767589999867596,1000,2991
BA,43,eigenvector,0.021596716999965793,1000,2991
BA,43,kcore,0.0025676479999674484,1000,2991
BA,43,pagerank,0.05374312399999326,1000,2991
BA,44,betweenness,0.3829118620000145,1000,2991
BA,44,collective_influence,0.07441423699998495,1000,2991
BA,44,community_bridge,0.8960726669999985,1000,2991
BA,44,degree,0.0006725530000153412,1000,2991
BA,44,eigenvector,0.020802360999994107,1000,2991
BA,44,kcore,0.0024766699999645425,1000,2991
BA,44,pagerank,0.004269410000006246,1000,2991
BA,45,betweenness,0.313324123999962,1000,2991
BA,45,collective_influence,0.023006741000017428,1000,2991
BA,45,community_bridge,0.977638952999996,1000,2991
BA,45,degree,0.0007954579999704947,1000,2991
BA,45,eigenvector,0.07408589699997492,1000,2991
BA,45,kcore,0.0027804780000337814,1000,2991
BA,45,pagerank,0.0046391170000106285,1000,2991
BA,46,betweenness,0.41808130199996185,1000,2991
BA,46,collective_influence,0.021628926000005322,1000,2991
BA,46,community_bridge,1.4652383879999888,1000,2991
BA,46,degree,0.001047037000034834,1000,2991
BA,46,eigenvector,0.08239529799999445,1000,2991
BA,46,kcore,0.0024777010000320843,1000,2991
BA,46,pagerank,0.006115140000019892,1000,2991
BA,47,betweenness,0.3009674990000235,1000,2991
BA,47,collective_influence,0.07386956599998484,1000,2991
BA,47,community_bridge,0.7034769339999798,1000,2991
BA,47,degree,0.0006613460000153282,1000,2991
BA,47,eigenvector,0.0805963929999507,1000,2991
BA,47,kcore,0.0030443760000480324,1000,2991
BA,47,pagerank,0.005483429000037177,1000,2991
BA,48,betweenness,0.3839682140000491,1000,2991
BA,48,collective_influence,0.021713829000020723,1000,2991
BA,48,community_bridge,0.8152655999999752,1000,2991
BA,48,degree,0.0006603649999874506,1000,2991
BA,48,eigenvector,0.07831211699999585,1000,2991
BA,48,kcore,0.002994470999965415,1000,2991
BA,48,pagerank,0.005566925000039191,1000,2991
BA,49,betweenness,0.29487005499998986,1000,2991
BA,49,collective_influence,0.07288270799995189,1000,2991
BA,49,community_bridge,0.7235841840000035,1000,2991
BA,49,degree,0.0006945160000100259,1000,2991
BA,49,eigenvector,0.024137540000026547,1000,2991
BA,49,kcore,0.00260787799999207,1000,2991
BA,49,pagerank,0.005184283999994932,1000,2991
BA,50,betweenness,0.2961366909999583,1000,2991
BA,50,collective_influence,0.07377152699996259,1000,2991
BA,50,community_bridge,0.8203975789999731,1000,2991
BA,50,degree,0.0011058659999889642,1000,2991
BA,50,eigenvector,0.022020850999979302,1000,2991
BA,50,kcore,0.002513996999994106,1000,2991
BA,50,pagerank,0.00464123199998312,1000,2991
BA,51,betweenness,0.28886429599998564,1000,2991
BA,51,collective_influence,0.06958123499998692,1000,2991
BA,51,community_bridge,0.7122861329999637,1000,2991
BA,51,degree,0.0006722329999888643,1000,2991
BA,51,eigenvector,0.024530100999982096,1000,2991
BA,51,kcore,0.0024770509999711976,1000,2991
BA,51,pagerank,0.004435161000003518,1000,2991
BA,52,betweenness,0.2933773749999773,1000,2991
BA,52,collective_influence,0.06930418700000018,1000,2991
BA,52,community_bridge,0.7250487029999704,1000,2991
BA,52,degree,0.0006700389999991785,1000,2991
BA,52,eigenvector,0.024588008000023365,1000,2991
BA,52,kcore,0.002590982000015174,1000,2991
BA,52,pagerank,0.004672788999982913,1000,2991
BA,53,betweenness,0.29908944300001394,1000,2991
BA,53,collective_influence,0.06883284700001013,1000,2991
BA,53,community_bridge,0.8197791819999907,1000,2991
BA,53,degree,0.0006480359999727625,1000,2991
BA,53,eigenvector,0.02338263299998289,1000,2991
BA,53,kcore,0.00252624500001275,1000,2991
BA,53,pagerank,0.005703756000002613,1000,2991
BA,54,betweenness,0.24708107399999335,1000,2991
BA,54,collective_influence,0.07823774400003458,1000,2991
BA,54,community_bridge,1.2169677530000058,1000,2991
BA,54,degree,0.0006558380000001307,1000,2991
