topology,trial,graph_seed,nodes,edges,mean_degree,density,clustering,transitivity,assortativity,components,lcc_fraction
BA,0,171696702,1000,2991,5.982,0.005987987987987988,0.03327831706909018,0.01774653768529473,-0.09175296848524739,1,1.0
BA,1,188474321,1000,2991,5.982,0.005987987987987988,0.03246407934678074,0.017939433838051348,-0.06901006123332025,1,1.0
BA,2,138141464,1000,2991,5.982,0.005987987987987988,0.030968589729988824,0.017560512577123873,-0.08721143765702118,1,1.0
BA,3,154919083,1000,2991,5.982,0.005987987987987988,0.033678492426298605,0.018342143083331302,-0.0664461982895871,1,1.0
BA,4,238807178,1000,2991,5.982,0.005987987987987988,0.025313755368446916,0.016985845129059117,-0.05638032277653564,1,1.0
BA,5,255584797,1000,2991,5.982,0.005987987987987988,0.033347593486137424,0.01825527079914152,-0.0755357122671385,1,1.0
BA,6,205251940,1000,2991,5.982,0.005987987987987988,0.029153460310349422,0.016883836983642916,-0.06742336372767808,1,1.0
BA,7,222029559,1000,2991,5.982,0.005987987987987988,0.028285521218750484,0.016230557145086616,-0.07752026031679685,1,1.0
BA,8,37475750,1000,2991,5.982,0.005987987987987988,0.024651511625731263,0.016570316524526358,-0.052819888401057315,1,1.0
BA,9,54253369,1000,2991,5.982,0.005987987987987988,0.035628770538025656,0.017657886962252574,-0.07251267161532347,1,1.0
BA,10,2420620083,1000,2991,5.982,0.005987987987987988,0.03751965647550685,0.01707909002245458,-0.11282986632655288,1,1.0
BA,11,2403842464,1000,2991,5.982,0.005987987987987988,0.031922776753419896,0.017702312138728325,-0.079335577270436,1,1.0
BA,12,2454175321,1000,2991,5.982,0.005987987987987988,0.027347285810728632,0.016334823242584316,-0.07115185160340154,1,1.0
BA,13,2437397702,1000,2991,5.982,0.005987987987987988,0.03253569223271611,0.01778083028083028,-0.07618480370890986,1,1.0
BA,14,2487730559,1000,2991,5.982,0.005987987987987988,0.03866225500169719,0.019390777041319984,-0.0717138198996112,1,1.0
BA,15,2470952940,1000,2991,5.982,0.005987987987987988,0.030626633208938277,0.016809719073937295,-0.07675239986745198,1,1.0
BA,16,2521285797,1000,2991,5.982,0.005987987987987988,0.030531877235709687,0.01792973482299098,-0.07109978579031588,1,1.0
BA,17,2504508178,1000,2991,5.982,0.005987987987987988,0.030802089710089284,0.01779106898474327,-0.06789753499659432,1,1.0
BA,18,2554841035,1000,2991,5.982,0.005987987987987988,0.0303824888732363,0.017807615542134322,-0.06315499693980278,1,1.0
BA,19,2538063416,1000,2991,5.982,0.005987987987987988,0.037372317308467476,0.0182381359654192,-0.08708403756783309,1,1.0
BA,20,507530232,1000,2991,5.982,0.005987987987987988,0.027638442393293074,0.016180877145192046,-0.0899063873912439,1,1.0
BA,21,524307851,1000,2991,5.982,0.005987987987987988,0.03480663940647331,0.017306210150173997,-0.09288926595677267,1,1.0
BA,22,541085470,1000,2991,5.982,0.005987987987987988,0.03404601307754367,0.016565393518518517,-0.10559127361225869,1,1.0
BA,23,557863089,1000,2991,5.982,0.005987987987987988,0.03188004029284587,0.017706398288146356,-0.09161738743975671,1,1.0
BA,24,574640708,1000,2991,5.982,0.005987987987987988,0.024263957247608534,0.016938519447929738,-0.047603661700247234,1,1.0
BA,25,591418327,1000,2991,5.982,0.005987987987987988,0.03131775441436011,0.01908957415565345,-0.05321629070694814,1,1.0
BA,26,608195946,1000,2991,5.982,0.005987987987987988,0.025812267032309804,0.016415419550764684,-0.06902990097138106,1,1.0
BA,27,624973565,1000,2991,5.982,0.005987987987987988,0.03124071995666936,0.017611781674637516,-0.07486266996985119,1,1.0
BA,28,373309280,1000,2991,5.982,0.005987987987987988,0.028707098165871366,0.018419094195194555,-0.059111476730361684,1,1.0
BA,29,390086899,1000,2991,5.982,0.005987987987987988,0.03329177227995516,0.018214841722885313,-0.0647332602101662,1,1.0
BA,30,608343041,1000,2991,5.982,0.005987987987987988,0.03369336372049686,0.01906394996973976,-0.0812528036797126,1,1.0
BA,31,591565422,1000,2991,5.982,0.005987987987987988,0.03404271358940697,0.0181244885187503,-0.09050158953520057,1,1.0
BA,32,574787803,1000,2991,5.982,0.005987987987987988,0.03343051418254613,0.01768978163426736,-0.09011652865171028,1,1.0
BA,33,558010184,1000,2991,5.982,0.005987987987987988,0.028907202653485446,0.01565858151673319,-0.08130288988693186,1,1.0
BA,34,675453517,1000,2991,5.982,0.005987987987987988,0.030779699319524786,0.019197035206917852,-0.066273197466668,1,1.0
