topology,trial,beta,gamma,fraction,strategy,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
ER,1,0.05,0.05,0.05,degree,18.0,34.0,1.0,1.0,383.0,0.854,17140.0,0.938,16629.0,15691.0,849.0,237.0,0.05
ER,1,0.05,0.05,0.05,betweenness,17.0,34.0,1.0,1.0,379.0,0.87,17701.0,0.938,17689.0,16751.0,865.0,177.0,0.05
ER,1,0.05,0.05,0.05,kcore,23.0,40.0,1.0,1.0,336.0,0.861,17043.0,0.939,17780.0,16841.0,856.0,192.0,0.05
ER,1,0.05,0.05,0.05,collective_influence,20.0,39.0,1.0,1.0,333.0,0.865,16605.0,0.94,17408.0,16468.0,860.0,207.0,0.05
ER,1,0.05,0.05,0.05,community_bridge,20.0,39.0,1.0,1.0,346.0,0.87,17036.0,0.941,17028.0,16087.0,865.0,156.0,0.05
ER,1,0.15,0.05,0.05,random,6.0,10.0,1.0,1.0,673.0,0.932,18330.0,0.94,6832.0,5892.0,927.0,144.0,0.05
ER,1,0.15,0.05,0.05,degree,7.0,12.0,1.0,1.0,632.0,0.938,18122.0,0.941,6680.0,5739.0,933.0,136.0,0.05
ER,1,0.15,0.05,0.05,betweenness,6.0,10.0,1.0,1.0,639.0,0.935,18080.0,0.938,6732.0,5794.0,930.0,188.0,0.05
ER,1,0.15,0.05,0.05,kcore,7.0,12.0,1.0,1.0,650.0,0.929,18009.0,0.94,6875.0,5935.0,924.0,241.0,0.05
ER,1,0.15,0.05,0.05,collective_influence,9.0,14.0,1.0,1.0,625.0,0.928,18049.0,0.941,6730.0,5789.0,923.0,218.0,0.05
ER,1,0.15,0.05,0.05,community_bridge,6.0,12.0,1.0,1.0,651.0,0.93,19203.0,0.941,6852.0,5911.0,925.0,171.0,0.05
ER,0,0.01,0.05,0.05,random,,,0.0,0.0,15.0,0.027,507.0,0.129,2344.0,2215.0,22.0,64.0,0.05
ER,0,0.01,0.05,0.05,degree,,,0.0,0.0,13.0,0.044,1040.0,0.195,4362.0,4167.0,39.0,193.0,0.05
ER,0,0.01,0.05,0.05,betweenness,,,0.0,0.0,11.0,0.046,758.0,0.216,3530.0,3314.0,41.0,153.0,0.05
ER,0,0.01,0.05,0.05,kcore,,,0.0,0.0,6.0,0.008,106.0,0.036,490.0,454.0,3.0,43.0,0.05
ER,0,0.01,0.05,0.05,collective_influence,,,0.0,0.0,8.0,0.01,188.0,0.045,692.0,647.0,5.0,39.0,0.05
ER,0,0.01,0.05,0.05,community_bridge,,,0.0,0.0,6.0,0.007,115.0,0.026,386.0,360.0,2.0,40.0,0.05
ER,0,0.02,0.05,0.05,random,,,0.0,0.0,5.0,0.006,27.0,0.038,203.0,165.0,1.0,10.0,0.05
