topology,trial,beta,gamma,fraction,strategy,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
ER,6,0.05,0.05,0.05,betweenness,17.0,32.0,1.0,1.0,431.0,0.885,17836.0,0.933,18212.0,17279.0,880.0,167.0,0.05
ER,6,0.05,0.05,0.05,kcore,18.0,35.0,1.0,1.0,395.0,0.885,17660.0,0.939,18286.0,17347.0,880.0,147.0,0.05
ER,6,0.05,0.05,0.05,collective_influence,24.0,40.0,1.0,1.0,388.0,0.875,17383.0,0.94,18376.0,17436.0,870.0,179.0,0.05
ER,6,0.05,0.05,0.05,community_bridge,17.0,32.0,1.0,1.0,412.0,0.896,17983.0,0.939,17761.0,16822.0,891.0,179.0,0.05
ER,6,0.15,0.05,0.05,random,7.0,11.0,1.0,1.0,684.0,0.938,18393.0,0.942,7219.0,6277.0,933.0,151.0,0.05
ER,6,0.15,0.05,0.05,degree,8.0,13.0,1.0,1.0,688.0,0.944,19685.0,0.942,6605.0,5663.0,939.0,172.0,0.05
ER,6,0.15,0.05,0.05,betweenness,6.0,10.0,1.0,1.0,656.0,0.934,17468.0,0.935,6562.0,5627.0,929.0,140.0,0.05
ER,6,0.15,0.05,0.05,kcore,6.0,10.0,1.0,1.0,644.0,0.939,19188.0,0.941,6783.0,5842.0,934.0,139.0,0.05
ER,6,0.15,0.05,0.05,collective_influence,5.0,9.0,1.0,1.0,685.0,0.94,19013.0,0.941,6322.0,5381.0,935.0,145.0,0.05
ER,6,0.15,0.05,0.05,community_bridge,9.0,14.0,1.0,1.0,669.0,0.933,17966.0,0.94,6821.0,5881.0,928.0,230.0,0.05
ER,9,0.01,0.05,0.05,random,,,0.0,0.0,9.0,0.018,287.0,0.099,1373.0,1274.0,13.0,51.0,0.05
ER,9,0.01,0.05,0.05,degree,,,0.0,0.0,12.0,0.064,1440.0,0.262,4797.0,4535.0,59.0,252.0,0.05
ER,9,0.01,0.05,0.05,betweenness,,,0.0,0.0,16.0,0.089,1872.0,0.383,7652.0,7269.0,84.0,365.0,0.05
ER,9,0.01,0.05,0.05,kcore,246.0,,1.0,0.0,16.0,0.1,2392.0,0.383,9251.0,8868.0,95.0,309.0,0.05
ER,9,0.01,0.05,0.05,collective_influence,,,0.0,0.0,6.0,0.008,55.0,0.035,253.0,218.0,3.0,21.0,0.05
ER,9,0.01,0.05,0.05,community_bridge,,,0.0,0.0,7.0,0.009,91.0,0.049,481.0,432.0,4.0,21.0,0.05
ER,9,0.02,0.05,0.05,random,48.0,130.0,1.0,1.0,111.0,0.698,14357.0,0.927,33217.0,32290.0,693.0,348.0,0.05
ER,9,0.02,0.05,0.05,degree,50.0,134.0,1.0,1.0,111.0,0.584,11631.0,0.902,27794.0,26892.0,579.0,267.0,0.05
ER,9,0.02,0.05,0.05,betweenness,213.0,359.0,1.0,1.0,82.0,0.526,10004.0,0.902,26761.0,25859.0,521.0,480.0,0.05
ER,9,0.02,0.05,0.05,kcore,91.0,209.0,1.0,1.0,109.0,0.557,11604.0,0.904,27962.0,27058.0,552.0,362.0,0.05
ER,9,0.02,0.05,0.05,collective_influence,69.0,273.0,1.0,1.0,69.0,0.502,10473.0,0.883,26887.0,26004.0,497.0,306.0,0.05
ER,9,0.02,0.05,0.05,community_bridge,71.0,174.0,1.0,1.0,106.0,0.584,12155.0,0.901,29507.0,28606.0,579.0,343.0,0.05
ER,9,0.05,0.05,0.05,random,14.0,27.0,1.0,1.0,399.0,0.894,17563.0,0.936,18071.0,17135.0,889.0,167.0,0.05
ER,9,0.05,0.05,0.05,degree,31.0,49.0,1.0,1.0,370.0,0.849,17043.0,0.932,18366.0,17434.0,844.0,160.0,0.05
ER,9,0.05,0.05,0.05,betweenness,13.0,26.0,1.0,1.0,400.0,0.879,17907.0,0.932,18271.0,17339.0,874.0,194.0,0.05
ER,9,0.05,0.05,0.05,kcore,17.0,32.0,1.0,1.0,351.0,0.871,17409.0,0.936,17298.0,16362.0,866.0,180.0,0.05
ER,9,0.05,0.05,0.05,collective_influence,20.0,34.0,1.0,1.0,417.0,0.889,18650.0,0.933,17801.0,16868.0,884.0,179.0,0.05
ER,9,0.05,0.05,0.05,community_bridge,15.0,31.0,1.0,1.0,404.0,0.877,17620.0,0.933,16901.0,15968.0,872.0,226.0,0.05
ER,9,0.15,0.05,0.05,random,5.0,9.0,1.0,1.0,670.0,0.936,18602.0,0.938,6921.0,5983.0,931.0,138.0,0.05
ER,9,0.15,0.05,0.05,degree,7.0,11.0,1.0,1.0,672.0,0.929,18181.0,0.936,6609.0,5673.0,924.0,132.0,0.05
ER,9,0.15,0.05,0.05,betweenness,7.0,12.0,1.0,1.0,666.0,0.931,19223.0,0.935,7186.0,6251.0,926.0,132.0,0.05
ER,9,0.15,0.05,0.05,kcore,6.0,11.0,1.0,1.0,638.0,0.93,18192.0,0.936,7000.0,6064.0,925.0,144.0,0.05
ER,9,0.15,0.05,0.05,collective_influence,7.0,12.0,1.0,1.0,630.0,0.927,17999.0,0.934,6796.0,5862.0,922.0,186.0,0.05
ER,9,0.15,0.05,0.05,community_bridge,6.0,11.0,1.0,1.0,655.0,0.931,17958.0,0.935,7066.0,6131.0,926.0,157.0,0.05
ER,10,0.01,0.05,0.05,random,207.0,,1.0,0.0,16.0,0.114,2527.0,0.487,11506.0,11019.0,109.0,293.0,0.05
ER,10,0.01,0.05,0.05,degree,,,0.0,0.0,10.0,0.065,1261.0,0.267,4704.0,4437.0,60.0,262.0,0.05
ER,10,0.01,0.05,0.05,betweenness,152.0,,1.0,0.0,20.0,0.104,2199.0,0.443,9127.0,8684.0,99.0,196.0,0.05
ER,10,0.01,0.05,0.05,kcore,,,0.0,0.0,7.0,0.026,506.0,0.119,1970.0,1851.0,21.0,137.0,0.05
ER,10,0.01,0.05,0.05,collective_influence,,,0.0,0.0,11.0,0.036,568.0,0.175,2730.0,2555.0,31.0,109.0,0.05
ER,10,0.01,0.05,0.05,community_bridge,,,0.0,0.0,6.0,0.008,127.0,0.038,588.0,550.0,3.0,43.0,0.05
ER,10,0.02,0.05,0.05,random,44.0,105.0,1.0,1.0,141.0,0.636,12595.0,0.926,31738.0,30812.0,631.0,266.0,0.05
ER,10,0.02,0.05,0.05,degree,69.0,221.0,1.0,1.0,66.0,0.53,10406.0,0.889,26553.0,25664.0,525.0,376.0,0.05
ER,10,0.02,0.05,0.05,betweenness,,,0.0,0.0,5.0,0.008,51.0,0.034,206.0,172.0,3.0,15.0,0.05
ER,10,0.02,0.05,0.05,kcore,64.0,166.0,1.0,1.0,105.0,0.603,12819.0,0.907,29608.0,28701.0,598.0,328.0,0.05
ER,10,0.02,0.05,0.05,collective_influence,57.0,,1.0,0.0,86.0,0.458,9050.0,0.849,22422.0,21573.0,453.0,261.0,0.05
ER,10,0.02,0.05,0.05,community_bridge,121.0,276.0,1.0,1.0,90.0,0.603,11465.0,0.914,28244.0,27330.0,598.0,500.0,0.05
ER,10,0.05,0.05,0.05,random,15.0,29.0,1.0,1.0,394.0,0.902,17478.0,0.944,17883.0,16939.0,897.0,159.0,0.05
ER,10,0.05,0.05,0.05,degree,22.0,41.0,1.0,1.0,385.0,0.874,18056.0,0.94,17501.0,16561.0,869.0,190.0,0.05
ER,10,0.05,0.05,0.05,betweenness,18.0,32.0,1.0,1.0,380.0,0.885,17222.0,0.939,18119.0,17180.0,880.0,193.0,0.05
ER,10,0.05,0.05,0.05,kcore,22.0,39.0,1.0,1.0,343.0,0.862,16787.0,0.937,17398.0,16461.0,857.0,216.0,0.05
ER,10,0.05,0.05,0.05,collective_influence,16.0,32.0,1.0,1.0,392.0,0.871,18898.0,0.939,17892.0,16953.0,866.0,237.0,0.05
ER,10,0.05,0.05,0.05,community_bridge,21.0,37.0,1.0,1.0,376.0,0.868,16892.0,0.941,18681.0,17740.0,863.0,171.0,0.05
ER,10,0.15,0.05,0.05,random,5.0,10.0,1.0,1.0,684.0,0.944,18658.0,0.944,6690.0,5746.0,939.0,182.0,0.05
ER,10,0.15,0.05,0.05,degree,7.0,12.0,1.0,1.0,620.0,0.932,18092.0,0.94,6620.0,5680.0,927.0,150.0,0.05
ER,10,0.15,0.05,0.05,betweenness,6.0,12.0,1.0,1.0,643.0,0.932,17660.0,0.94,7014.0,6074.0,927.0,116.0,0.05
ER,10,0.15,0.05,0.05,kcore,7.0,12.0,1.0,1.0,656.0,0.935,18567.0,0.94,6649.0,5709.0,930.0,152.0,0.05
ER,10,0.15,0.05,0.05,collective_influence,6.0,11.0,1.0,1.0,671.0,0.932,18339.0,0.94,6790.0,5850.0,927.0,114.0,0.05
ER,10,0.15,0.05,0.05,community_bridge,6.0,11.0,1.0,1.0,655.0,0.933,18510.0,0.941,6763.0,5822.0,928.0,145.0,0.05
ER,11,0.01,0.05,0.05,random,188.0,,1.0,0.0,22.0,0.132,2770.0,0.538,12697.0,12159.0,127.0,354.0,0.05
ER,11,0.01,0.05,0.05,degree,,,0.0,0.0,10.0,0.018,312.0,0.083,1351.0,1268.0,13.0,63.0,0.05
ER,11,0.01,0.05,0.05,betweenness,134.0,,1.0,0.0,26.0,0.182,3839.0,0.609,14998.0,14389.0,177.0,426.0,0.05
ER,11,0.01,0.05,0.05,kcore,,,0.0,0.0,8.0,0.014,197.0,0.067,922.0,855.0,9.0,39.0,0.05
ER,11,0.01,0.05,0.05,collective_influence,,,0.0,0.0,8.0,0.016,281.0,0.091,1550.0,1459.0,11.0,81.0,0.05
ER,11,0.01,0.05,0.05,community_bridge,,,0.0,0.0,5.0,0.01,164.0,0.051,832.0,781.0,5.0,59.0,0.05
ER,11,0.02,0.05,0.05,random,34.0,93.0,1.0,1.0,138.0,0.636,12363.0,0.925,30107.0,29182.0,631.0,231.0,0.05
ER,11,0.02,0.05,0.05,degree,107.0,308.0,1.0,1.0,86.0,0.545,11465.0,0.897,29095.0,28198.0,540.0,500.0,0.05
ER,11,0.02,0.05,0.05,betweenness,63.0,203.0,1.0,1.0,89.0,0.553,11151.0,0.91,28703.0,27793.0,548.0,368.0,0.05
ER,11,0.02,0.05,0.05,kcore,67.0,292.0,1.0,1.0,59.0,0.517,10507.0,0.9,28737.0,27837.0,512.0,370.0,0.05
ER,11,0.02,0.05,0.05,collective_influence,159.0,,1.0,0.0,32.0,0.405,6983.0,0.842,20772.0,19930.0,400.0,500.0,0.05
ER,11,0.02,0.05,0.05,community_bridge,77.0,164.0,1.0,1.0,111.0,0.615,13139.0,0.931,30482.0,29551.0,610.0,354.0,0.05
ER,11,0.05,0.05,0.05,random,20.0,34.0,1.0,1.0,421.0,0.892,17141.0,0.938,18421.0,17483.0,887.0,150.0,0.05
ER,11,0.05,0.05,0.05,degree,17.0,34.0,1.0,1.0,321.0,0.861,17061.0,0.935,17994.0,17059.0,856.0,182.0,0.05
ER,11,0.05,0.05,0.05,betweenness,19.0,35.0,1.0,1.0,390.0,0.883,17819.0,0.938,18318.0,17380.0,878.0,172.0,0.05
ER,11,0.05,0.05,0.05,kcore,18.0,33.0,1.0,1.0,402.0,0.893,17878.0,0.939,17105.0,16166.0,888.0,185.0,0.05
ER,11,0.05,0.05,0.05,collective_influence,18.0,33.0,1.0,1.0,374.0,0.876,17818.0,0.942,17619.0,16677.0,871.0,199.0,0.05
ER,11,0.05,0.05,0.05,community_bridge,15.0,31.0,1.0,1.0,381.0,0.89,18273.0,0.942,17597.0,16655.0,885.0,157.0,0.05
ER,11,0.15,0.05,0.05,random,5.0,9.0,1.0,1.0,673.0,0.937,19172.0,0.94,6914.0,5974.0,932.0,139.0,0.05
ER,11,0.15,0.05,0.05,degree,6.0,11.0,1.0,1.0,661.0,0.936,18772.0,0.94,6501.0,5561.0,931.0,183.0,0.05
ER,11,0.15,0.05,0.05,betweenness,7.0,12.0,1.0,1.0,636.0,0.927,18381.0,0.939,7177.0,6238.0,922.0,162.0,0.05
ER,11,0.15,0.05,0.05,kcore,5.0,10.0,1.0,1.0,636.0,0.934,18550.0,0.94,6598.0,5658.0,929.0,138.0,0.05
ER,11,0.15,0.05,0.05,collective_influence,8.0,13.0,1.0,1.0,633.0,0.94,17506.0,0.942,6897.0,5955.0,935.0,146.0,0.05
ER,11,0.15,0.05,0.05,community_bridge,8.0,13.0,1.0,1.0,661.0,0.941,18416.0,0.942,6905.0,5963.0,936.0,168.0,0.05
ER,13,0.01,0.05,0.05,random,,,0.0,0.0,5.0,0.018,421.0,0.102,1672.0,1570.0,13.0,230.0,0.05
ER,13,0.01,0.05,0.05,degree,,,0.0,0.0,6.0,0.008,151.0,0.034,747.0,713.0,3.0,44.0,0.05
ER,13,0.01,0.05,0.05,betweenness,,,0.0,0.0,6.0,0.006,107.0,0.022,307.0,285.0,1.0,61.0,0.05
ER,13,0.01,0.05,0.05,kcore,,,0.0,0.0,9.0,0.014,294.0,0.061,875.0,814.0,9.0,90.0,0.05
ER,13,0.01,0.05,0.05,collective_influence,,,0.0,0.0,5.0,0.019,302.0,0.087,1489.0,1402.0,14.0,125.0,0.05
ER,13,0.01,0.05,0.05,community_bridge,,,0.0,0.0,9.0,0.022,423.0,0.115,1605.0,1490.0,17.0,116.0,0.05
ER,13,0.02,0.05,0.05,random,55.0,131.0,1.0,1.0,116.0,0.645,12468.0,0.928,31657.0,30729.0,640.0,280.0,0.05
ER,13,0.02,0.05,0.05,degree,97.0,188.0,1.0,1.0,108.0,0.602,12899.0,0.914,28823.0,27909.0,597.0,434.0,0.05
ER,13,0.02,0.05,0.05,betweenness,56.0,154.0,1.0,1.0,116.0,0.55,11296.0,0.896,28660.0,27764.0,545.0,268.0,0.05
ER,13,0.02,0.05,0.05,kcore,67.0,210.0,1.0,1.0,83.0,0.555,11333.0,0.903,28459.0,27556.0,550.0,342.0,0.05
ER,13,0.02,0.05,0.05,collective_influence,101.0,271.0,1.0,1.0,86.0,0.508,10413.0,0.88,26944.0,26064.0,503.0,342.0,0.05
ER,13,0.02,0.05,0.05,community_bridge,116.0,,1.0,0.0,64.0,0.456,8597.0,0.875,23509.0,22634.0,451.0,436.0,0.05
ER,13,0.05,0.05,0.05,random,13.0,25.0,1.0,1.0,429.0,0.895,18225.0,0.942,17137.0,16195.0,890.0,182.0,0.05
ER,13,0.05,0.05,0.05,degree,19.0,35.0,1.0,1.0,420.0,0.886,18715.0,0.941,17396.0,16455.0,881.0,191.0,0.05
ER,13,0.05,0.05,0.05,betweenness,15.0,31.0,1.0,1.0,360.0,0.867,17556.0,0.939,17458.0,16519.0,862.0,164.0,0.05
ER,13,0.05,0.05,0.05,kcore,27.0,46.0,1.0,1.0,349.0,0.868,17179.0,0.94,17517.0,16577.0,863.0,181.0,0.05
ER,13,0.05,0.05,0.05,collective_influence,20.0,38.0,1.0,1.0,376.0,0.873,17588.0,0.942,17924.0,16982.0,868.0,190.0,0.05
ER,13,0.05,0.05,0.05,community_bridge,23.0,38.0,1.0,1.0,398.0,0.877,17304.0,0.94,17035.0,16095.0,872.0,173.0,0.05
ER,13,0.15,0.05,0.05,random,7.0,11.0,1.0,1.0,650.0,0.939,18856.0,0.944,7194.0,6250.0,934.0,118.0,0.05
ER,13,0.15,0.05,0.05,degree,6.0,11.0,1.0,1.0,630.0,0.939,18108.0,0.942,7094.0,6152.0,934.0,147.0,0.05
ER,13,0.15,0.05,0.05,betweenness,6.0,11.0,1.0,1.0,672.0,0.938,19796.0,0.94,6575.0,5635.0,933.0,149.0,0.05
ER,13,0.15,0.05,0.05,kcore,7.0,11.0,1.0,1.0,669.0,0.94,19238.0,0.942,6607.0,5665.0,935.0,164.0,0.05
ER,13,0.15,0.05,0.05,collective_influence,8.0,13.0,1.0,1.0,653.0,0.938,18870.0,0.943,7123.0,6180.0,933.0,163.0,0.05
ER,13,0.15,0.05,0.05,community_bridge,6.0,11.0,1.0,1.0,641.0,0.936,18361.0,0.943,6946.0,6003.0,931.0,143.0,0.05
ER,8,0.01,0.05,0.05,random,342.0,,1.0,0.0,17.0,0.106,2284.0,0.442,9443.0,9001.0,101.0,389.0,0.05
ER,8,0.01,0.05,0.05,degree,,,0.0,0.0,12.0,0.05,995.0,0.226,4429.0,4203.0,45.0,203.0,0.05
ER,8,0.01,0.05,0.05,betweenness,,,0.0,0.0,6.0,0.011,332.0,0.06,1383.0,1323.0,6.0,133.0,0.05
ER,8,0.01,0.05,0.05,kcore,,,0.0,0.0,9.0,0.022,352.0,0.098,1522.0,1424.0,17.0,83.0,0.05
ER,8,0.01,0.05,0.05,collective_influence,,,0.0,0.0,12.0,0.026,482.0,0.117,2023.0,1906.0,21.0,76.0,0.05
ER,8,0.01,0.05,0.05,community_bridge,,,0.0,0.0,9.0,0.039,853.0,0.197,4001.0,3804.0,34.0,245.0,0.05
ER,8,0.02,0.05,0.05,random,61.0,138.0,1.0,1.0,123.0,0.639,12619.0,0.925,31972.0,31047.0,634.0,340.0,0.05
ER,8,0.02,0.05,0.05,degree,95.0,,1.0,0.0,79.0,0.484,9734.0,0.875,24885.0,24010.0,479.0,342.0,0.05
ER,8,0.02,0.05,0.05,betweenness,90.0,270.0,1.0,1.0,65.0,0.535,10131.0,0.887,26673.0,25786.0,530.0,451.0,0.05
ER,8,0.02,0.05,0.05,kcore,62.0,196.0,1.0,1.0,85.0,0.543,11090.0,0.902,27172.0,26270.0,538.0,411.0,0.05
ER,8,0.02,0.05,0.05,collective_influence,81.0,232.0,1.0,1.0,88.0,0.542,11012.0,0.89,26420.0,25530.0,537.0,368.0,0.05
ER,8,0.02,0.05,0.05,community_bridge,83.0,173.0,1.0,1.0,110.0,0.61,12355.0,0.912,29786.0,28874.0,605.0,314.0,0.05
ER,8,0.05,0.05,0.05,random,22.0,36.0,1.0,1.0,400.0,0.885,17922.0,0.944,18560.0,17616.0,880.0,202.0,0.05
ER,8,0.05,0.05,0.05,degree,21.0,41.0,1.0,1.0,316.0,0.861,16863.0,0.934,17214.0,16280.0,856.0,224.0,0.05
ER,8,0.05,0.05,0.05,betweenness,23.0,38.0,1.0,1.0,413.0,0.881,18060.0,0.934,17579.0,16645.0,876.0,203.0,0.05
ER,8,0.05,0.05,0.05,kcore,21.0,42.0,1.0,1.0,335.0,0.854,17055.0,0.935,18005.0,17070.0,849.0,215.0,0.05
ER,8,0.05,0.05,0.05,collective_influence,21.0,38.0,1.0,1.0,325.0,0.866,17178.0,0.939,18349.0,17410.0,861.0,188.0,0.05
ER,8,0.05,0.05,0.05,community_bridge,20.0,37.0,1.0,1.0,338.0,0.841,15347.0,0.933,17764.0,16831.0,836.0,146.0,0.05
ER,8,0.15,0.05,0.05,random,6.0,10.0,1.0,1.0,691.0,0.944,19788.0,0.944,7029.0,6085.0,939.0,205.0,0.05
ER,8,0.15,0.05,0.05,degree,6.0,11.0,1.0,1.0,640.0,0.93,18254.0,0.936,6923.0,5987.0,925.0,147.0,0.05
ER,8,0.15,0.05,0.05,betweenness,10.0,14.0,1.0,1.0,661.0,0.93,19176.0,0.938,6695.0,5757.0,925.0,166.0,0.05
ER,8,0.15,0.05,0.05,kcore,6.0,12.0,1.0,1.0,636.0,0.932,18815.0,0.937,7135.0,6198.0,927.0,133.0,0.05
ER,8,0.15,0.05,0.05,collective_influence,6.0,11.0,1.0,1.0,652.0,0.938,18434.0,0.94,6730.0,5790.0,933.0,169.0,0.05
ER,8,0.15,0.05,0.05,community_bridge,7.0,12.0,1.0,1.0,641.0,0.936,18601.0,0.939,6969.0,6030.0,931.0,130.0,0.05
ER,12,0.01,0.05,0.05,random,,,0.0,0.0,5.0,0.007,44.0,0.035,204.0,169.0,2.0,23.0,0.05
ER,12,0.01,0.05,0.05,degree,,,0.0,0.0,7.0,0.011,206.0,0.054,925.0,871.0,6.0,68.0,0.05
ER,12,0.01,0.05,0.05,betweenness,,,0.0,0.0,7.0,0.023,343.0,0.102,1388.0,1286.0,18.0,124.0,0.05
ER,12,0.01,0.05,0.05,kcore,412.0,,1.0,0.0,14.0,0.12,2469.0,0.473,10322.0,9849.0,115.0,500.0,0.05
ER,12,0.01,0.05,0.05,collective_influence,192.0,,1.0,0.0,22.0,0.158,3605.0,0.536,13060.0,12524.0,153.0,364.0,0.05
ER,12,0.01,0.05,0.05,community_bridge,,,0.0,0.0,7.0,0.021,434.0,0.089,1719.0,1630.0,16.0,125.0,0.05
ER,12,0.02,0.05,0.05,random,49.0,110.0,1.0,1.0,144.0,0.656,12890.0,0.928,32116.0,31188.0,651.0,326.0,0.05
ER,12,0.02,0.05,0.05,degree,186.0,467.0,1.0,1.0,70.0,0.515,9802.0,0.896,25105.0,24209.0,510.0,500.0,0.05
ER,12,0.02,0.05,0.05,betweenness,130.0,249.0,1.0,1.0,83.0,0.559,10715.0,0.904,28583.0,27679.0,554.0,356.0,0.05
ER,12,0.02,0.05,0.05,kcore,88.0,254.0,1.0,1.0,62.0,0.547,10591.0,0.903,27270.0,26367.0,542.0,366.0,0.05
ER,12,0.02,0.05,0.05,collective_influence,116.0,,1.0,0.0,59.0,0.471,8556.0,0.876,24025.0,23149.0,466.0,402.0,0.05
ER,12,0.02,0.05,0.05,community_bridge,75.0,248.0,1.0,1.0,66.0,0.562,10852.0,0.91,28031.0,27121.0,557.0,433.0,0.05
ER,12,0.05,0.05,0.05,random,15.0,26.0,1.0,1.0,438.0,0.898,17701.0,0.941,18452.0,17511.0,893.0,185.0,0.05
ER,12,0.05,0.05,0.05,degree,24.0,41.0,1.0,1.0,362.0,0.867,16240.0,0.936,18057.0,17121.0,862.0,172.0,0.05
ER,12,0.05,0.05,0.05,betweenness,18.0,33.0,1.0,1.0,383.0,0.87,17423.0,0.933,17828.0,16895.0,865.0,172.0,0.05
ER,12,0.05,0.05,0.05,kcore,18.0,35.0,1.0,1.0,355.0,0.862,17743.0,0.933,18281.0,17348.0,857.0,233.0,0.05
ER,12,0.05,0.05,0.05,collective_influence,27.0,44.0,1.0,1.0,376.0,0.875,16293.0,0.936,17202.0,16266.0,870.0,157.0,0.05
ER,12,0.05,0.05,0.05,community_bridge,18.0,31.0,1.0,1.0,385.0,0.867,17143.0,0.939,16922.0,15983.0,862.0,193.0,0.05
ER,12,0.15,0.05,0.05,random,7.0,11.0,1.0,1.0,662.0,0.937,19727.0,0.94,6960.0,6020.0,932.0,217.0,0.05
ER,12,0.15,0.05,0.05,degree,7.0,12.0,1.0,1.0,642.0,0.932,18015.0,0.938,7017.0,6079.0,927.0,153.0,0.05
ER,12,0.15,0.05,0.05,betweenness,6.0,11.0,1.0,1.0,638.0,0.928,18604.0,0.933,6877.0,5944.0,923.0,144.0,0.05
ER,12,0.15,0.05,0.05,kcore,5.0,10.0,1.0,1.0,646.0,0.933,19218.0,0.938,6621.0,5683.0,928.0,131.0,0.05
ER,12,0.15,0.05,0.05,collective_influence,7.0,11.0,1.0,1.0,665.0,0.936,18440.0,0.938,6826.0,5888.0,931.0,142.0,0.05
ER,12,0.15,0.05,0.05,community_bridge,9.0,13.0,1.0,1.0,638.0,0.928,18394.0,0.939,6739.0,5800.0,923.0,152.0,0.05
ER,14,0.01,0.05,0.05,random,227.0,,1.0,0.0,18.0,0.155,3342.0,0.571,14271.0,13700.0,150.0,500.0,0.05
ER,14,0.01,0.05,0.05,degree,,,0.0,0.0,5.0,0.007,53.0,0.038,284.0,246.0,2.0,19.0,0.05
ER,14,0.01,0.05,0.05,betweenness,,,0.0,0.0,10.0,0.057,1262.0,0.254,4995.0,4741.0,52.0,271.0,0.05
ER,14,0.01,0.05,0.05,kcore,,,0.0,0.0,6.0,0.008,129.0,0.034,497.0,463.0,3.0,31.0,0.05
ER,14,0.01,0.05,0.05,collective_influence,226.0,,1.0,0.0,20.0,0.16,3551.0,0.552,13518.0,12966.0,155.0,438.0,0.05
ER,14,0.01,0.05,0.05,community_bridge,,,0.0,0.0,5.0,0.007,103.0,0.036,526.0,490.0,2.0,36.0,0.05
ER,14,0.02,0.05,0.05,random,,,0.0,0.0,6.0,0.007,60.0,0.03,221.0,191.0,2.0,15.0,0.05
ER,14,0.02,0.05,0.05,degree,107.0,203.0,1.0,1.0,113.0,0.635,13176.0,0.925,30372.0,29447.0,630.0,367.0,0.05
ER,14,0.02,0.05,0.05,betweenness,105.0,181.0,1.0,1.0,124.0,0.667,13766.0,0.929,31407.0,30478.0,662.0,317.0,0.05
ER,14,0.02,0.05,0.05,kcore,61.0,162.0,1.0,1.0,92.0,0.6,12426.0,0.905,28823.0,27918.0,595.0,405.0,0.05
ER,14,0.02,0.05,0.05,collective_influence,69.0,219.0,1.0,1.0,81.0,0.518,10163.0,0.906,26571.0,25665.0,513.0,317.0,0.05
ER,14,0.02,0.05,0.05,community_bridge,59.0,150.0,1.0,1.0,124.0,0.668,14384.0,0.926,32847.0,31921.0,663.0,385.0,0.05
ER,14,0.05,0.05,0.05,random,18.0,31.0,1.0,1.0,447.0,0.881,17738.0,0.942,17920.0,16978.0,876.0,166.0,0.05
ER,14,0.05,0.05,0.05,degree,23.0,37.0,1.0,1.0,378.0,0.875,18009.0,0.941,17324.0,16383.0,870.0,233.0,0.05
ER,14,0.05,0.05,0.05,betweenness,19.0,35.0,1.0,1.0,397.0,0.883,17254.0,0.937,18220.0,17283.0,878.0,199.0,0.05
ER,14,0.05,0.05,0.05,kcore,21.0,37.0,1.0,1.0,397.0,0.876,18221.0,0.937,18996.0,18059.0,871.0,176.0,0.05
ER,14,0.05,0.05,0.05,collective_influence,19.0,34.0,1.0,1.0,395.0,0.873,16795.0,0.939,17917.0,16978.0,868.0,187.0,0.05
ER,14,0.05,0.05,0.05,community_bridge,24.0,42.0,1.0,1.0,353.0,0.874,17175.0,0.939,18346.0,17407.0,869.0,181.0,0.05
ER,14,0.15,0.05,0.05,random,6.0,10.0,1.0,1.0,667.0,0.937,17995.0,0.943,6800.0,5857.0,932.0,188.0,0.05
ER,14,0.15,0.05,0.05,degree,7.0,12.0,1.0,1.0,667.0,0.935,18967.0,0.944,6787.0,5843.0,930.0,156.0,0.05
ER,14,0.15,0.05,0.05,betweenness,6.0,11.0,1.0,1.0,669.0,0.941,18527.0,0.943,7056.0,6113.0,936.0,141.0,0.05
ER,14,0.15,0.05,0.05,kcore,6.0,11.0,1.0,1.0,662.0,0.934,19592.0,0.943,6658.0,5715.0,929.0,197.0,0.05
ER,14,0.15,0.05,0.05,collective_influence,8.0,13.0,1.0,1.0,661.0,0.936,18438.0,0.94,7120.0,6180.0,931.0,156.0,0.05
ER,14,0.15,0.05,0.05,community_bridge,6.0,11.0,1.0,1.0,665.0,0.939,19196.0,0.942,7153.0,6211.0,934.0,151.0,0.05
ER,15,0.01,0.05,0.05,random,,,0.0,0.0,14.0,0.075,1625.0,0.348,7471.0,7123.0,70.0,238.0,0.05
ER,15,0.01,0.05,0.05,degree,,,0.0,0.0,7.0,0.015,231.0,0.082,1210.0,1128.0,10.0,99.0,0.05
ER,15,0.01,0.05,0.05,betweenness,,,0.0,0.0,5.0,0.005,91.0,0.026,198.0,172.0,0.0,71.0,0.05
ER,15,0.01,0.05,0.05,kcore,,,0.0,0.0,6.0,0.01,164.0,0.063,976.0,913.0,5.0,49.0,0.05
ER,15,0.01,0.05,0.05,collective_influence,,,0.0,0.0,5.0,0.005,57.0,0.018,217.0,199.0,0.0,21.0,0.05
ER,15,0.01,0.05,0.05,community_bridge,,,0.0,0.0,13.0,0.074,1547.0,0.323,6493.0,6170.0,69.0,267.0,0.05
ER,15,0.02,0.05,0.05,random,44.0,100.0,1.0,1.0,137.0,0.684,12988.0,0.929,30489.0,29560.0,679.0,227.0,0.05
ER,15,0.02,0.05,0.05,degree,41.0,181.0,1.0,1.0,72.0,0.549,11143.0,0.897,27225.0,26328.0,544.0,276.0,0.05
