topology,trial,seed_mode,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
BA,12,high_degree,2.0,5.0,1.0,1.0,727.0,0.996,20556.0,0.995,7617.0,6622.0,991.0,134.0,0.0
BA,12,bridge,2.0,5.0,1.0,1.0,742.0,0.995,20014.0,0.995,7276.0,6281.0,990.0,127.0,0.0
BA,12,peripheral,3.0,6.0,1.0,1.0,746.0,1.0,19205.0,0.995,6842.0,5847.0,995.0,122.0,0.0
BA,11,random,4.0,6.0,1.0,1.0,761.0,0.995,20041.0,0.995,7284.0,6289.0,990.0,148.0,0.0
BA,11,high_degree,3.0,6.0,1.0,1.0,718.0,0.995,20046.0,0.995,7573.0,6578.0,990.0,131.0,0.0
BA,11,bridge,2.0,5.0,1.0,1.0,732.0,0.994,19738.0,0.995,7161.0,6166.0,989.0,114.0,0.0
BA,11,peripheral,4.0,7.0,1.0,1.0,743.0,0.998,20404.0,0.995,7272.0,6277.0,993.0,157.0,0.0
BA,9,random,4.0,7.0,1.0,1.0,724.0,0.994,20509.0,0.995,7599.0,6604.0,989.0,151.0,0.0
BA,9,high_degree,2.0,5.0,1.0,1.0,743.0,0.997,19131.0,0.995,7342.0,6347.0,992.0,136.0,0.0
BA,9,bridge,2.0,5.0,1.0,1.0,724.0,0.99,19125.0,0.995,7539.0,6544.0,985.0,148.0,0.0
BA,9,peripheral,4.0,7.0,1.0,1.0,747.0,0.995,20021.0,0.995,7689.0,6694.0,990.0,122.0,0.0
BA,13,random,6.0,9.0,1.0,1.0,756.0,0.995,19525.0,0.995,7852.0,6857.0,990.0,133.0,0.0
BA,13,high_degree,2.0,5.0,1.0,1.0,723.0,0.994,19636.0,0.995,7574.0,6579.0,989.0,119.0,0.0
