topology,trial,family,beta,gamma,initial_spreaders,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
ER,2,beta_gamma,0.01,0.1,5,,,0.0,0.0,5.0,0.007,82.0,0.044,508.0,464.0,2.0,28.0,0.0
ER,2,beta_gamma,0.02,0.05,5,41.0,107.0,1.0,1.0,132.0,0.722,14449.0,0.98,36706.0,35726.0,717.0,287.0,0.0
ER,2,beta_gamma,0.02,0.1,5,,,0.0,0.0,11.0,0.041,358.0,0.237,1987.0,1750.0,36.0,71.0,0.0
ER,2,beta_gamma,0.05,0.05,5,20.0,33.0,1.0,1.0,452.0,0.949,19273.0,0.993,19660.0,18667.0,944.0,200.0,0.0
ER,2,beta_gamma,0.05,0.1,5,18.0,35.0,1.0,1.0,230.0,0.803,7843.0,0.989,15807.0,14818.0,798.0,102.0,0.0
ER,2,beta_gamma,0.15,0.05,5,7.0,10.0,1.0,1.0,728.0,0.99,20397.0,0.993,7257.0,6264.0,985.0,145.0,0.0
ER,2,beta_gamma,0.15,0.1,5,8.0,11.0,1.0,1.0,584.0,0.982,9841.0,0.993,7313.0,6320.0,977.0,74.0,0.0
ER,2,seed_count,0.15,0.05,1,9.0,12.0,1.0,1.0,710.0,0.993,19855.0,0.997,7257.0,6260.0,992.0,133.0,0.0
ER,2,seed_count,0.15,0.05,5,5.0,10.0,1.0,1.0,734.0,0.992,20524.0,0.993,7790.0,6797.0,987.0,150.0,0.0
ER,2,seed_count,0.15,0.05,10,5.0,9.0,1.0,1.0,749.0,0.986,20716.0,0.987,7416.0,6429.0,976.0,181.0,0.0
ER,3,beta_gamma,0.005,0.05,5,,,0.0,0.0,5.0,0.007,131.0,0.046,689.0,643.0,2.0,61.0,0.0
ER,3,beta_gamma,0.005,0.1,5,,,0.0,0.0,5.0,0.007,100.0,0.047,528.0,481.0,2.0,34.0,0.0
ER,3,beta_gamma,0.01,0.05,5,,,0.0,0.0,7.0,0.022,336.0,0.127,1551.0,1424.0,17.0,99.0,0.0
ER,3,beta_gamma,0.01,0.1,5,,,0.0,0.0,5.0,0.007,60.0,0.034,297.0,263.0,2.0,28.0,0.0
ER,3,beta_gamma,0.02,0.05,5,93.0,153.0,1.0,1.0,169.0,0.716,14121.0,0.983,35129.0,34146.0,711.0,326.0,0.0
ER,3,beta_gamma,0.02,0.1,5,,,0.0,0.0,5.0,0.01,83.0,0.053,355.0,302.0,5.0,30.0,0.0
ER,3,beta_gamma,0.05,0.05,5,15.0,28.0,1.0,1.0,468.0,0.944,19260.0,0.994,19798.0,18804.0,939.0,169.0,0.0
ER,3,beta_gamma,0.05,0.1,5,21.0,42.0,1.0,1.0,215.0,0.815,8447.0,0.991,16856.0,15865.0,810.0,123.0,0.0
ER,3,beta_gamma,0.15,0.05,5,6.0,10.0,1.0,1.0,730.0,0.995,19803.0,0.994,7471.0,6477.0,990.0,137.0,0.0
ER,3,beta_gamma,0.15,0.1,5,6.0,10.0,1.0,1.0,565.0,0.978,9833.0,0.994,7188.0,6194.0,973.0,82.0,0.0
ER,3,seed_count,0.15,0.05,1,8.0,11.0,1.0,1.0,718.0,0.99,19154.0,0.998,7306.0,6308.0,989.0,178.0,0.0
ER,3,seed_count,0.15,0.05,5,8.0,12.0,1.0,1.0,730.0,0.993,20130.0,0.994,7384.0,6390.0,988.0,155.0,0.0
ER,3,seed_count,0.15,0.05,10,4.0,8.0,1.0,1.0,732.0,0.989,20529.0,0.989,7584.0,6595.0,979.0,155.0,0.0
ER,4,beta_gamma,0.005,0.05,5,,,0.0,0.0,11.0,0.025,643.0,0.143,3557.0,3414.0,20.0,134.0,0.0
ER,4,beta_gamma,0.005,0.1,5,,,0.0,0.0,6.0,0.012,170.0,0.061,807.0,746.0,7.0,68.0,0.0
ER,4,beta_gamma,0.01,0.05,5,,,0.0,0.0,6.0,0.021,504.0,0.107,2101.0,1994.0,16.0,142.0,0.0
ER,4,beta_gamma,0.01,0.1,5,,,0.0,0.0,9.0,0.013,153.0,0.072,744.0,672.0,8.0,29.0,0.0
ER,4,beta_gamma,0.02,0.05,5,109.0,176.0,1.0,1.0,149.0,0.692,14219.0,0.976,34824.0,33848.0,687.0,337.0,0.0
ER,4,beta_gamma,0.02,0.1,5,,,0.0,0.0,9.0,0.025,226.0,0.12,905.0,785.0,20.0,61.0,0.0
ER,4,beta_gamma,0.05,0.05,5,16.0,28.0,1.0,1.0,446.0,0.936,19259.0,0.989,18766.0,17777.0,931.0,191.0,0.0
ER,4,beta_gamma,0.05,0.1,5,25.0,41.0,1.0,1.0,221.0,0.778,7573.0,0.984,15452.0,14468.0,773.0,100.0,0.0
ER,4,beta_gamma,0.15,0.05,5,7.0,11.0,1.0,1.0,712.0,0.992,19988.0,0.993,7648.0,6655.0,987.0,178.0,0.0
ER,4,beta_gamma,0.15,0.1,5,6.0,10.0,1.0,1.0,577.0,0.976,9623.0,0.992,6982.0,5990.0,971.0,90.0,0.0
ER,4,seed_count,0.15,0.05,1,8.0,12.0,1.0,1.0,702.0,0.991,20101.0,0.997,7555.0,6558.0,990.0,166.0,0.0
ER,4,seed_count,0.15,0.05,5,7.0,12.0,1.0,1.0,693.0,0.99,18996.0,0.993,7583.0,6590.0,985.0,160.0,0.0
ER,4,seed_count,0.15,0.05,10,5.0,8.0,1.0,1.0,724.0,0.989,19850.0,0.987,7036.0,6049.0,979.0,163.0,0.0
ER,7,beta_gamma,0.005,0.05,5,,,0.0,0.0,6.0,0.012,168.0,0.083,1245.0,1162.0,7.0,66.0,0.0
ER,7,beta_gamma,0.005,0.1,5,,,0.0,0.0,6.0,0.006,44.0,0.043,317.0,274.0,1.0,14.0,0.0
ER,7,beta_gamma,0.01,0.05,5,,,0.0,0.0,17.0,0.095,2003.0,0.421,9745.0,9324.0,90.0,324.0,0.0
ER,7,beta_gamma,0.01,0.1,5,,,0.0,0.0,6.0,0.008,70.0,0.062,507.0,445.0,3.0,31.0,0.0
ER,7,beta_gamma,0.02,0.05,5,69.0,125.0,1.0,1.0,153.0,0.733,14360.0,0.984,35481.0,34497.0,728.0,295.0,0.0
ER,7,beta_gamma,0.02,0.1,5,,,0.0,0.0,7.0,0.022,199.0,0.137,1084.0,947.0,17.0,54.0,0.0
ER,7,beta_gamma,0.05,0.05,5,18.0,32.0,1.0,1.0,439.0,0.939,19221.0,0.989,20004.0,19015.0,934.0,174.0,0.0
ER,7,beta_gamma,0.05,0.1,5,23.0,39.0,1.0,1.0,248.0,0.804,7883.0,0.988,16365.0,15377.0,799.0,107.0,0.0
