topology,n,edges,repeat,strategy,graph_seconds,ranking_seconds
BA,500,1491,0,degree,0.01522121599998627,0.0008859690000235787
BA,500,1491,0,betweenness,0.01522121599998627,0.11364721999996164
BA,500,1491,0,pagerank,0.01522121599998627,0.30391047800003435
BA,500,1491,0,eigenvector,0.01522121599998627,0.03617791099998158
BA,500,1491,0,kcore,0.01522121599998627,0.0019250899999860849
BA,500,1491,0,collective_influence,0.01522121599998627,0.010363162999965425
BA,500,1491,0,community_bridge,0.01522121599998627,0.12999864599999
BA,500,1491,1,degree,0.016786547999913637,0.0005376299999397816
BA,500,1491,1,betweenness,0.016786547999913637,0.11326975700001185
BA,500,1491,1,pagerank,0.016786547999913637,0.3061504730000024
BA,500,1491,1,eigenvector,0.016786547999913637,0.03657787199995255
BA,500,1491,1,kcore,0.016786547999913637,0.0020257009999795628
BA,500,1491,1,collective_influence,0.016786547999913637,0.010219582999980048
BA,500,1491,1,community_bridge,0.016786547999913637,0.19510621799997807
BA,1000,2991,1,degree,0.01300772699994468,0.0011431220000304165
BA,1000,2991,1,betweenness,0.01300772699994468,0.18236653300004946
BA,1000,2991,1,pagerank,0.01300772699994468,0.27163781100000506
BA,1000,2991,1,eigenvector,0.01300772699994468,0.024291628000014498
BA,1000,2991,1,kcore,0.01300772699994468,0.002880189000052269
BA,1000,2991,1,collective_influence,0.01300772699994468,0.02044047699996554
BA,1000,2991,1,community_bridge,0.01300772699994468,0.4583357270000761
BA,1000,2991,0,degree,0.01857881700004782,0.001410154000041075
BA,1000,2991,0,betweenness,0.01857881700004782,0.18134440300002552
BA,1000,2991,0,pagerank,0.01857881700004782,0.23394979599993349
BA,1000,2991,0,eigenvector,0.01857881700004782,0.04350713899998482
BA,1000,2991,0,kcore,0.01857881700004782,0.002991875999896365
BA,1000,2991,0,collective_influence,0.01857881700004782,0.0225504649999948
BA,1000,2991,0,community_bridge,0.01857881700004782,0.4954834119999987
WS,500,1500,0,degree,0.0016727590000300552,0.00034925600004953594
WS,500,1500,0,betweenness,0.0016727590000300552,0.07756393499994374
WS,500,1500,0,pagerank,0.0016727590000300552,0.002784985000062079
WS,500,1500,0,eigenvector,0.0016727590000300552,0.1033591970000316
WS,500,1500,0,kcore,0.0016727590000300552,0.0012409189999971204
WS,500,1500,0,collective_influence,0.0016727590000300552,0.003935466999905657
WS,500,1500,0,community_bridge,0.0016727590000300552,0.07973839900000712
WS,500,1500,1,degree,0.002004468999984965,0.0004678849999208978
WS,500,1500,1,betweenness,0.002004468999984965,0.09141381500000989
WS,500,1500,1,pagerank,0.002004468999984965,0.003650547999995979
WS,500,1500,1,eigenvector,0.002004468999984965,0.08136654199995519
WS,500,1500,1,kcore,0.002004468999984965,0.001265737000039735
WS,500,1500,1,collective_influence,0.002004468999984965,0.003668765000043095
WS,500,1500,1,community_bridge,0.002004468999984965,0.08375942600002872
WS,1000,3000,1,degree,0.002912736999974186,0.0007068449999678705
WS,1000,3000,1,betweenness,0.002912736999974186,0.17307147500002884
WS,1000,3000,1,pagerank,0.002912736999974186,0.005426412999895547
WS,1000,3000,1,eigenvector,0.002912736999974186,0.20879897500003608
WS,1000,3000,1,kcore,0.002912736999974186,0.0029758919999949285
WS,1000,3000,1,collective_influence,0.002912736999974186,0.007312082999987979
WS,1000,3000,1,community_bridge,0.002912736999974186,0.26294707099998504
WS,1000,3000,0,degree,0.002430940999943232,0.0005942350001078012
WS,1000,3000,0,betweenness,0.002430940999943232,0.162289353999995
WS,1000,3000,0,pagerank,0.002430940999943232,0.006812810999917929
WS,1000,3000,0,eigenvector,0.002430940999943232,0.3262417439999581
WS,1000,3000,0,kcore,0.002430940999943232,0.0026004069999316926
WS,1000,3000,0,collective_influence,0.002430940999943232,0.012413726999966457
WS,1000,3000,0,community_bridge,0.002430940999943232,0.24745955499997763
BA,2000,5991,0,degree,0.013616193000075327,0.0019727909999573967
BA,2000,5991,0,betweenness,0.013616193000075327,0.37650953299998946
BA,2000,5991,0,pagerank,0.013616193000075327,0.01154801799998495
BA,2000,5991,0,eigenvector,0.013616193000075327,0.0551811819999557
BA,2000,5991,0,kcore,0.013616193000075327,0.00559953399999813
BA,2000,5991,0,collective_influence,0.013616193000075327,0.05208895400005531
BA,2000,5991,0,community_bridge,0.013616193000075327,1.371720857000014
BA,2000,5991,1,degree,0.011556310000059966,0.0016184270000394463
BA,2000,5991,1,betweenness,0.011556310000059966,0.3419867100000147
BA,2000,5991,1,pagerank,0.011556310000059966,0.010526569000035124
BA,2000,5991,1,eigenvector,0.011556310000059966,0.05515892300002179
BA,2000,5991,1,kcore,0.011556310000059966,0.005417279000084818
BA,2000,5991,1,collective_influence,0.011556310000059966,0.053879391999998916
BA,2000,5991,1,community_bridge,0.011556310000059966,1.4237669679999954
WS,2000,6000,0,degree,0.007247645999996166,0.0013422719999880428
WS,2000,6000,0,betweenness,0.007247645999996166,0.3682597590000114
WS,2000,6000,0,pagerank,0.007247645999996166,0.01218652500006101
WS,2000,6000,0,eigenvector,0.007247645999996166,0.43017108300000473
WS,2000,6000,0,kcore,0.007247645999996166,0.004789733999928103
WS,2000,6000,0,collective_influence,0.007247645999996166,0.016295404000061353
WS,2000,6000,0,community_bridge,0.007247645999996166,0.7289477950000673
WS,2000,6000,1,degree,0.007400936999943042,0.001970507999999427
WS,2000,6000,1,betweenness,0.007400936999943042,0.33429164200003925
WS,2000,6000,1,pagerank,0.007400936999943042,0.009538024999983463
WS,2000,6000,1,eigenvector,0.007400936999943042,0.5317032899999958
WS,2000,6000,1,kcore,0.007400936999943042,0.005185320000009597
WS,2000,6000,1,collective_influence,0.007400936999943042,0.015168295999956172
WS,2000,6000,1,community_bridge,0.007400936999943042,0.8032139509999752
