topology,trial,strategy,fraction,remaining_nodes,remaining_edges,components_after,lcc_fraction_original_n,incident_edges_blocked,incident_edge_fraction,cross_community_edges_blocked,approx_mean_path_after,protected_mean_degree
BA,2,eigenvector,0.05,950,1807,12,0.938,1184,0.39585422935473086,726,3.5894736842105264,26.44
BA,2,eigenvector,0.1,900,1434,30,0.868,1557,0.5205616850551655,926,4.11578947368421,18.36
BA,2,kcore,0.01,990,2446,1,0.99,545,0.18221330658642595,337,2.626315789473684,56.5
BA,2,kcore,0.05,950,1657,17,0.933,1334,0.44600468070879307,824,4.342105263157895,29.16
BA,2,kcore,0.1,900,1190,48,0.849,1801,0.6021397525911066,1094,6.336842105263158,20.72
BA,2,pagerank,0.01,990,2446,1,0.99,545,0.18221330658642595,337,2.626315789473684,56.5
BA,2,pagerank,0.05,950,1656,18,0.932,1335,0.4463390170511535,827,4.405263157894737,29.16
BA,2,pagerank,0.1,900,1180,52,0.846,1811,0.6054831160147108,1103,6.226315789473684,20.72
BA,2,random,0.01,990,2896,1,0.99,95,0.031761952524239384,53,1.8526315789473684,9.6
BA,2,random,0.05,950,2696,1,0.95,295,0.0986292209963223,152,1.8526315789473684,6.08
BA,2,random,0.1,900,2432,1,0.9,559,0.18689401537947176,280,1.9157894736842105,5.93
BA,3,betweenness,0.01,990,2450,1,0.99,541,0.1808759612169843,319,2.636842105263158,56.3
BA,3,betweenness,0.05,950,1718,13,0.937,1273,0.42561016382480776,762,4.189473684210526,28.08
BA,3,betweenness,0.1,900,1324,35,0.865,1667,0.5573386827148111,965,5.978947368421053,19.21
BA,3,collective_influence,0.01,990,2433,2,0.989,558,0.18655967903711135,336,2.6789473684210527,57.9
BA,3,collective_influence,0.05,950,1688,17,0.934,1303,0.4356402540956202,771,4.726315789473684,28.7
BA,3,collective_influence,0.1,900,1241,41,0.857,1750,0.5850885991307255,1020,6.863157894736842,20.2
BA,3,community_bridge,0.01,990,2434,2,0.989,557,0.1862253426947509,344,2.6736842105263157,57.4
BA,3,community_bridge,0.05,950,1673,16,0.934,1318,0.4406552992310264,800,4.526315789473684,28.92
BA,3,community_bridge,0.1,900,1227,41,0.856,1764,0.5897693079237714,1053,6.294736842105263,20.19
BA,3,degree,0.01,990,2432,2,0.989,559,0.18689401537947176,330,2.6315789473684212,58.1
BA,3,degree,0.05,950,1668,17,0.933,1323,0.44232698094282846,796,4.673684210526316,29.0
BA,3,degree,0.1,900,1208,41,0.858,1783,0.5961216984286192,1037,7.589473684210526,20.48
BA,3,eigenvector,0.01,990,2458,3,0.988,533,0.17820127047810097,316,2.663157894736842,55.6
BA,3,eigenvector,0.05,950,1855,10,0.941,1136,0.379806084921431,667,4.015789473684211,25.42
BA,3,eigenvector,0.1,900,1553,17,0.884,1438,0.48077566031427615,825,4.426315789473684,17.05
BA,3,kcore,0.01,990,2432,2,0.989,559,0.18689401537947176,330,2.6315789473684212,58.1
BA,3,kcore,0.05,950,1668,17,0.933,1323,0.44232698094282846,796,4.673684210526316,29.0
BA,3,kcore,0.1,900,1208,41,0.858,1783,0.5961216984286192,1037,7.589473684210526,20.48
BA,3,pagerank,0.01,990,2432,2,0.989,559,0.18689401537947176,330,2.6315789473684212,58.1
BA,3,pagerank,0.05,950,1666,18,0.932,1325,0.44299565362754934,795,4.647368421052631,29.0
BA,3,pagerank,0.1,900,1206,43,0.855,1785,0.59679037111334,1037,7.684210526315789,20.48
BA,3,random,0.01,990,2941,1,0.99,50,0.01671681711802073,17,1.8368421052631578,5.0
BA,3,random,0.05,950,2708,1,0.95,283,0.09461718488799732,122,1.8368421052631578,5.72
BA,3,random,0.1,900,2398,1,0.9,593,0.19826145101972584,279,1.9631578947368422,6.15
BA,4,betweenness,0.01,990,2483,2,0.989,508,0.1698428619190906,321,2.6315789473684212,52.2
BA,4,betweenness,0.05,950,1751,10,0.941,1240,0.41457706452691406,765,4.184210526315789,27.34
BA,4,betweenness,0.1,900,1312,39,0.858,1679,0.561350718823136,999,5.726315789473684,19.45
BA,4,collective_influence,0.01,990,2483,2,0.989,508,0.1698428619190906,321,2.6315789473684212,52.2
BA,4,collective_influence,0.05,950,1709,16,0.935,1282,0.4286191909060515,791,4.652631578947369,28.28
BA,4,collective_influence,0.1,900,1255,49,0.847,1736,0.5804078903376797,1031,6.231578947368421,20.15
BA,4,community_bridge,0.01,990,2497,1,0.99,494,0.1651621531260448,325,2.557894736842105,51.1
BA,4,community_bridge,0.05,950,1717,15,0.935,1274,0.42594450016716817,797,4.310526315789474,28.04
BA,4,community_bridge,0.1,900,1247,42,0.855,1744,0.5830825810765631,1057,5.78421052631579,20.12
BA,4,degree,0.01,990,2483,2,0.989,508,0.1698428619190906,321,2.6315789473684212,52.2
BA,4,degree,0.05,950,1701,15,0.936,1290,0.4312938816449348,791,4.6421052631578945,28.38
BA,4,degree,0.1,900,1237,46,0.849,1754,0.5864259445001672,1045,6.773684210526316,20.3
BA,4,eigenvector,0.01,990,2523,2,0.989,468,0.15646940822467403,292,2.6157894736842104,48.8
BA,4,eigenvector,0.05,950,1779,13,0.938,1212,0.40521564694082246,745,4.336842105263158,27.0
BA,4,eigenvector,0.1,900,1473,26,0.869,1518,0.5075225677031093,902,4.905263157894737,17.89
BA,4,kcore,0.01,990,2483,2,0.989,508,0.1698428619190906,321,2.6315789473684212,52.2
BA,4,kcore,0.05,950,1701,15,0.936,1290,0.4312938816449348,791,4.6421052631578945,28.38
BA,4,kcore,0.1,900,1237,46,0.849,1754,0.5864259445001672,1045,6.773684210526316,20.3
BA,4,pagerank,0.01,990,2483,2,0.989,508,0.1698428619190906,321,2.6315789473684212,52.2
BA,4,pagerank,0.05,950,1701,15,0.936,1290,0.4312938816449348,791,4.6421052631578945,28.38
BA,4,pagerank,0.1,900,1228,47,0.848,1763,0.5894349715814109,1052,6.573684210526316,20.3
BA,4,random,0.01,990,2909,1,0.99,82,0.027415580073553995,49,1.8368421052631578,8.2
BA,4,random,0.05,950,2684,1,0.95,307,0.10264125710464728,149,1.9210526315789473,6.28
BA,4,random,0.1,900,2397,1,0.9,594,0.19859578736208625,291,1.9842105263157894,6.33
BA,5,betweenness,0.01,990,2419,1,0.99,572,0.19124038783015715,363,2.763157894736842,59.1
BA,5,betweenness,0.05,950,1741,12,0.935,1250,0.4179204279505182,769,4.110526315789474,27.6
BA,5,betweenness,0.1,900,1346,31,0.864,1645,0.549983283182882,968,5.057894736842106,19.1
BA,5,collective_influence,0.01,990,2419,1,0.99,572,0.19124038783015715,363,2.763157894736842,59.1
