family,value,topology,trial,beta,gamma,initial_spreaders,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
seed_count,10,ER,16,0.15,0.05,10,5.0,9.0,1.0,1.0,728.0,0.987,20114.0,0.984,7394.0,6410.0,977.0,147.0,0.0
seed_count,10,ER,16,0.02,0.05,10,42.0,111.0,1.0,1.0,136.0,0.683,13250.0,0.975,34518.0,33543.0,673.0,261.0,0.0
seed_count,1,ER,17,0.15,0.05,1,10.0,14.0,1.0,1.0,745.0,0.991,20013.0,0.996,7591.0,6595.0,990.0,146.0,0.0
seed_count,1,ER,17,0.02,0.05,1,,,0.0,0.0,1.0,0.001,5.0,0.005,25.0,20.0,0.0,5.0,0.0
seed_count,5,ER,17,0.15,0.05,5,8.0,11.0,1.0,1.0,746.0,0.99,19623.0,0.992,7262.0,6270.0,985.0,182.0,0.0
seed_count,5,ER,17,0.02,0.05,5,48.0,86.0,1.0,1.0,197.0,0.741,14757.0,0.983,35052.0,34069.0,736.0,226.0,0.0
seed_count,10,ER,17,0.15,0.05,10,5.0,9.0,1.0,1.0,732.0,0.99,19275.0,0.987,7485.0,6498.0,980.0,129.0,0.0
seed_count,10,ER,17,0.02,0.05,10,29.0,81.0,1.0,1.0,158.0,0.732,14428.0,0.983,36536.0,35553.0,722.0,315.0,0.0
seed_count,1,WS,0,0.15,0.05,1,13.0,19.0,1.0,1.0,661.0,1.0,20468.0,0.999,7246.0,6247.0,999.0,190.0,0.0
seed_count,1,WS,0,0.02,0.05,1,,,0.0,0.0,8.0,0.018,399.0,0.028,997.0,969.0,17.0,137.0,0.0
seed_count,5,WS,0,0.15,0.05,5,9.0,16.0,1.0,1.0,588.0,1.0,19281.0,0.995,7524.0,6529.0,995.0,163.0,0.0
seed_count,5,WS,0,0.02,0.05,5,148.0,,1.0,0.0,25.0,0.141,2788.0,0.303,7503.0,7200.0,136.0,273.0,0.0
