family,value,topology,trial,nodes,edges,mean_degree,density,clustering,transitivity,assortativity,components,lcc_fraction,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
n,500.0,WS,4,500,1500,6.0,0.012024048096192385,0.4560444444444444,0.44237820848611836,-0.05123830906326974,1,1.0,6.0,14.0,1.0,1.0,322.0,1.0,9912.0,0.99,3641.0,3146.0,495.0,125.0,0.0
n,500.0,WS,10,500,1500,6.0,0.012024048096192385,0.44149047619047616,0.42728105773006936,-0.022028048992024277,1,1.0,6.0,13.0,1.0,1.0,339.0,1.0,9956.0,0.99,3658.0,3163.0,495.0,131.0,0.0
n,500.0,WS,5,500,1500,6.0,0.012024048096192385,0.44906666666666667,0.4372373949579832,-0.03197922650559963,1,1.0,5.0,13.0,1.0,1.0,304.0,1.0,9872.0,0.99,3731.0,3236.0,495.0,166.0,0.0
n,500.0,WS,7,500,1500,6.0,0.012024048096192385,0.4444079365079365,0.42840314136125657,0.03662359507607196,1,1.0,7.0,15.0,1.0,1.0,309.0,1.0,10216.0,0.99,3753.0,3258.0,495.0,142.0,0.0
n,500.0,WS,9,500,1500,6.0,0.012024048096192385,0.44952063492063493,0.43873673175206396,-0.02266665246296365,1,1.0,5.0,12.0,1.0,1.0,321.0,1.0,9682.0,0.99,3615.0,3120.0,495.0,113.0,0.0
n,500.0,WS,11,500,1500,6.0,0.012024048096192385,0.4399793650793651,0.4232527759634226,0.01500384484701366,1,1.0,4.0,11.0,1.0,1.0,322.0,1.0,10959.0,0.99,3825.0,3330.0,495.0,185.0,0.0
n,500.0,WS,12,500,1500,6.0,0.012024048096192385,0.43656825396825394,0.41971757322175735,-0.014090680055701833,1,1.0,5.0,14.0,1.0,1.0,306.0,1.0,10117.0,0.99,3734.0,3239.0,495.0,162.0,0.0
n,500.0,WS,14,500,1500,6.0,0.012024048096192385,0.4608301587301587,0.44603091433062614,-0.03431254473963611,1,1.0,5.0,12.0,1.0,1.0,341.0,1.0,10021.0,0.99,3647.0,3152.0,495.0,130.0,0.0
n,500.0,WS,13,500,1500,6.0,0.012024048096192385,0.4298920634920635,0.414535490605428,-0.040985166205726,1,1.0,5.0,12.0,1.0,1.0,322.0,1.0,10448.0,0.99,3703.0,3208.0,495.0,140.0,0.0
n,500.0,WS,16,500,1500,6.0,0.012024048096192385,0.4225460317460318,0.4106910039113429,-0.03817710637760534,1,1.0,8.0,15.0,1.0,1.0,337.0,0.998,9738.0,0.99,3807.0,3312.0,494.0,134.0,0.0
