topology,trial,strategy,fraction,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
BA,47,random,0.01,4.0,7.0,1.0,1.0,723.0,0.982,18964.0,0.985,7172.0,6187.0,977.0,186.0,0.01
BA,47,random,0.05,7.0,10.0,1.0,1.0,672.0,0.939,18515.0,0.945,7292.0,6347.0,934.0,162.0,0.05
BA,47,random,0.1,4.0,8.0,1.0,1.0,604.0,0.885,17613.0,0.894,6505.0,5611.0,880.0,245.0,0.1
BA,48,betweenness,0.01,6.0,11.0,1.0,1.0,678.0,0.974,19242.0,0.984,6808.0,5824.0,969.0,185.0,0.01
BA,48,betweenness,0.05,7.0,14.0,1.0,1.0,547.0,0.897,16829.0,0.926,5920.0,4994.0,892.0,163.0,0.05
BA,48,betweenness,0.1,15.0,27.0,1.0,1.0,387.0,0.769,15650.0,0.844,5284.0,4440.0,764.0,159.0,0.1
BA,48,collective_influence,0.01,7.0,11.0,1.0,1.0,669.0,0.979,19706.0,0.985,7076.0,6091.0,974.0,154.0,0.01
BA,48,collective_influence,0.05,8.0,15.0,1.0,1.0,533.0,0.889,17711.0,0.929,6217.0,5288.0,884.0,133.0,0.05
BA,48,collective_influence,0.1,10.0,28.0,1.0,1.0,331.0,0.727,14401.0,0.803,5209.0,4406.0,722.0,159.0,0.1
BA,48,community_bridge,0.01,6.0,10.0,1.0,1.0,662.0,0.979,19201.0,0.985,7207.0,6222.0,974.0,149.0,0.01
BA,48,community_bridge,0.05,10.0,18.0,1.0,1.0,500.0,0.884,17928.0,0.924,6252.0,5328.0,879.0,146.0,0.05
BA,48,community_bridge,0.1,16.0,34.0,1.0,1.0,305.0,0.751,15110.0,0.816,5163.0,4347.0,746.0,155.0,0.1
BA,48,degree,0.01,6.0,10.0,1.0,1.0,625.0,0.976,19769.0,0.984,7059.0,6075.0,971.0,132.0,0.01
BA,48,degree,0.05,9.0,19.0,1.0,1.0,499.0,0.879,17537.0,0.922,6075.0,5153.0,874.0,201.0,0.05
BA,48,degree,0.1,22.0,39.0,1.0,1.0,350.0,0.753,14883.0,0.807,5119.0,4312.0,748.0,169.0,0.1
BA,48,eigenvector,0.01,7.0,12.0,1.0,1.0,653.0,0.97,19534.0,0.985,7285.0,6300.0,965.0,154.0,0.01
BA,48,eigenvector,0.05,9.0,16.0,1.0,1.0,534.0,0.894,16694.0,0.932,6271.0,5339.0,889.0,159.0,0.05
BA,48,eigenvector,0.1,16.0,25.0,1.0,1.0,463.0,0.803,16141.0,0.859,5672.0,4813.0,798.0,142.0,0.1
BA,48,kcore,0.01,5.0,9.0,1.0,1.0,682.0,0.973,20088.0,0.985,7031.0,6046.0,968.0,142.0,0.01
BA,48,kcore,0.05,13.0,21.0,1.0,1.0,499.0,0.888,17601.0,0.924,6045.0,5121.0,883.0,163.0,0.05
BA,48,kcore,0.1,15.0,31.0,1.0,1.0,351.0,0.737,14609.0,0.807,5023.0,4216.0,732.0,199.0,0.1
BA,48,pagerank,0.01,6.0,11.0,1.0,1.0,710.0,0.976,20272.0,0.984,6742.0,5758.0,971.0,131.0,0.01
BA,48,pagerank,0.05,12.0,20.0,1.0,1.0,511.0,0.871,18490.0,0.923,6124.0,5201.0,866.0,163.0,0.05
BA,48,pagerank,0.1,18.0,37.0,1.0,1.0,304.0,0.733,14366.0,0.801,5080.0,4279.0,728.0,208.0,0.1
BA,48,random,0.01,5.0,8.0,1.0,1.0,734.0,0.985,19197.0,0.985,7029.0,6044.0,980.0,138.0,0.01
BA,48,random,0.05,5.0,8.0,1.0,1.0,705.0,0.946,19509.0,0.945,6988.0,6043.0,941.0,229.0,0.05
BA,48,random,0.1,5.0,8.0,1.0,1.0,629.0,0.883,17381.0,0.895,6346.0,5451.0,878.0,162.0,0.1
BA,49,betweenness,0.01,6.0,9.0,1.0,1.0,687.0,0.97,20381.0,0.985,6898.0,5913.0,965.0,167.0,0.01
BA,49,betweenness,0.05,9.0,15.0,1.0,1.0,583.0,0.882,18216.0,0.921,5724.0,4803.0,877.0,141.0,0.05
BA,49,betweenness,0.1,9.0,18.0,1.0,1.0,483.0,0.813,16953.0,0.849,5139.0,4290.0,808.0,172.0,0.1
BA,49,collective_influence,0.01,6.0,10.0,1.0,1.0,664.0,0.966,19607.0,0.985,7342.0,6357.0,961.0,160.0,0.01
BA,49,collective_influence,0.05,12.0,19.0,1.0,1.0,536.0,0.876,17180.0,0.919,6243.0,5324.0,871.0,196.0,0.05
BA,49,collective_influence,0.1,12.0,22.0,1.0,1.0,406.0,0.757,15529.0,0.817,5068.0,4251.0,752.0,164.0,0.1
BA,49,community_bridge,0.01,6.0,10.0,1.0,1.0,674.0,0.974,20103.0,0.985,7112.0,6127.0,969.0,188.0,0.01
BA,49,community_bridge,0.05,9.0,17.0,1.0,1.0,502.0,0.879,17558.0,0.92,6322.0,5402.0,874.0,141.0,0.05
BA,49,community_bridge,0.1,17.0,29.0,1.0,1.0,392.0,0.77,15675.0,0.828,5037.0,4209.0,765.0,176.0,0.1
BA,49,degree,0.01,6.0,11.0,1.0,1.0,717.0,0.979,19959.0,0.985,7144.0,6159.0,974.0,141.0,0.01
BA,49,degree,0.05,9.0,16.0,1.0,1.0,517.0,0.877,16956.0,0.916,6366.0,5450.0,872.0,151.0,0.05
BA,49,degree,0.1,14.0,26.0,1.0,1.0,409.0,0.76,15152.0,0.817,5122.0,4305.0,755.0,222.0,0.1
BA,49,eigenvector,0.01,7.0,11.0,1.0,1.0,671.0,0.977,18519.0,0.985,7080.0,6095.0,972.0,164.0,0.01
BA,49,eigenvector,0.05,8.0,14.0,1.0,1.0,596.0,0.905,18007.0,0.934,6076.0,5142.0,900.0,147.0,0.05
BA,49,eigenvector,0.1,7.0,15.0,1.0,1.0,485.0,0.839,15677.0,0.874,5812.0,4938.0,834.0,155.0,0.1
BA,49,kcore,0.01,6.0,11.0,1.0,1.0,655.0,0.981,19509.0,0.985,7564.0,6579.0,976.0,139.0,0.01
BA,49,kcore,0.05,10.0,17.0,1.0,1.0,543.0,0.892,18761.0,0.925,6046.0,5121.0,887.0,157.0,0.05
BA,49,kcore,0.1,13.0,25.0,1.0,1.0,419.0,0.773,15259.0,0.826,4803.0,3977.0,768.0,138.0,0.1
BA,49,pagerank,0.01,6.0,10.0,1.0,1.0,688.0,0.981,19418.0,0.985,7124.0,6139.0,976.0,169.0,0.01
BA,49,pagerank,0.05,9.0,15.0,1.0,1.0,538.0,0.879,17793.0,0.919,6079.0,5160.0,874.0,143.0,0.05
BA,49,pagerank,0.1,12.0,25.0,1.0,1.0,364.0,0.745,14651.0,0.817,5166.0,4349.0,740.0,142.0,0.1
BA,49,random,0.01,4.0,7.0,1.0,1.0,735.0,0.986,19397.0,0.985,7446.0,6461.0,981.0,209.0,0.01
BA,49,random,0.05,5.0,8.0,1.0,1.0,713.0,0.943,19573.0,0.945,6892.0,5947.0,938.0,145.0,0.05
BA,49,random,0.1,4.0,7.0,1.0,1.0,645.0,0.888,18680.0,0.894,6544.0,5650.0,883.0,162.0,0.1
BA,50,betweenness,0.01,5.0,9.0,1.0,1.0,670.0,0.974,19096.0,0.984,7276.0,6292.0,969.0,161.0,0.01
BA,50,betweenness,0.05,8.0,15.0,1.0,1.0,529.0,0.895,18307.0,0.927,6409.0,5482.0,890.0,211.0,0.05
BA,50,betweenness,0.1,19.0,30.0,1.0,1.0,443.0,0.791,16742.0,0.824,5348.0,4524.0,786.0,175.0,0.1
BA,50,collective_influence,0.01,5.0,10.0,1.0,1.0,727.0,0.979,20013.0,0.985,7141.0,6156.0,974.0,128.0,0.01
BA,50,collective_influence,0.05,9.0,16.0,1.0,1.0,553.0,0.9,17997.0,0.927,6089.0,5162.0,895.0,146.0,0.05
BA,50,collective_influence,0.1,11.0,23.0,1.0,1.0,377.0,0.742,14726.0,0.81,4935.0,4125.0,737.0,166.0,0.1
BA,50,community_bridge,0.01,8.0,12.0,1.0,1.0,671.0,0.973,19980.0,0.985,7456.0,6471.0,968.0,174.0,0.01
BA,50,community_bridge,0.05,8.0,15.0,1.0,1.0,525.0,0.883,17475.0,0.927,6178.0,5251.0,878.0,181.0,0.05
BA,50,community_bridge,0.1,13.0,27.0,1.0,1.0,374.0,0.781,15941.0,0.827,5279.0,4452.0,776.0,196.0,0.1
BA,50,degree,0.01,5.0,9.0,1.0,1.0,707.0,0.979,19072.0,0.985,6855.0,5870.0,974.0,149.0,0.01
BA,50,degree,0.05,8.0,16.0,1.0,1.0,501.0,0.875,17398.0,0.924,6214.0,5290.0,870.0,223.0,0.05
BA,50,degree,0.1,11.0,26.0,1.0,1.0,341.0,0.753,15045.0,0.819,4973.0,4154.0,748.0,161.0,0.1
BA,50,eigenvector,0.01,7.0,11.0,1.0,1.0,687.0,0.98,19943.0,0.985,7282.0,6297.0,975.0,165.0,0.01
BA,50,eigenvector,0.05,8.0,14.0,1.0,1.0,575.0,0.914,18086.0,0.934,6256.0,5322.0,909.0,146.0,0.05
BA,50,eigenvector,0.1,10.0,18.0,1.0,1.0,454.0,0.817,15652.0,0.854,5449.0,4595.0,812.0,214.0,0.1
BA,50,kcore,0.01,6.0,10.0,1.0,1.0,679.0,0.981,19715.0,0.985,7114.0,6129.0,976.0,217.0,0.01
BA,50,kcore,0.05,9.0,16.0,1.0,1.0,508.0,0.884,17091.0,0.923,6246.0,5323.0,879.0,140.0,0.05
BA,50,kcore,0.1,13.0,26.0,1.0,1.0,363.0,0.764,15208.0,0.814,5244.0,4430.0,759.0,168.0,0.1
BA,50,pagerank,0.01,7.0,12.0,1.0,1.0,677.0,0.978,18686.0,0.985,7414.0,6429.0,973.0,159.0,0.01
BA,50,pagerank,0.05,10.0,17.0,1.0,1.0,526.0,0.887,17077.0,0.924,6048.0,5124.0,882.0,147.0,0.05
BA,50,pagerank,0.1,14.0,29.0,1.0,1.0,368.0,0.737,14980.0,0.799,5120.0,4321.0,732.0,200.0,0.1
BA,50,random,0.01,5.0,8.0,1.0,1.0,720.0,0.987,19255.0,0.985,7282.0,6297.0,982.0,125.0,0.01
BA,50,random,0.05,4.0,8.0,1.0,1.0,686.0,0.935,19628.0,0.945,6952.0,6007.0,930.0,145.0,0.05
BA,50,random,0.1,6.0,9.0,1.0,1.0,640.0,0.895,18557.0,0.894,6690.0,5796.0,890.0,183.0,0.1
BA,51,betweenness,0.01,5.0,9.0,1.0,1.0,681.0,0.977,19788.0,0.985,7319.0,6334.0,972.0,134.0,0.01
BA,51,betweenness,0.05,9.0,16.0,1.0,1.0,542.0,0.907,18528.0,0.931,6364.0,5433.0,902.0,133.0,0.05
BA,51,betweenness,0.1,18.0,30.0,1.0,1.0,414.0,0.792,15934.0,0.842,5204.0,4362.0,787.0,147.0,0.1
BA,51,collective_influence,0.01,6.0,10.0,1.0,1.0,715.0,0.973,20850.0,0.985,6930.0,5945.0,968.0,152.0,0.01
BA,51,collective_influence,0.05,8.0,15.0,1.0,1.0,539.0,0.894,17339.0,0.928,6294.0,5366.0,889.0,157.0,0.05
BA,51,collective_influence,0.1,14.0,29.0,1.0,1.0,396.0,0.776,17070.0,0.841,5377.0,4536.0,771.0,183.0,0.1
BA,51,community_bridge,0.01,5.0,9.0,1.0,1.0,673.0,0.978,19089.0,0.985,6792.0,5807.0,973.0,149.0,0.01
BA,51,community_bridge,0.05,8.0,15.0,1.0,1.0,536.0,0.893,17742.0,0.931,6304.0,5373.0,888.0,212.0,0.05
BA,51,community_bridge,0.1,17.0,34.0,1.0,1.0,311.0,0.748,14229.0,0.83,5049.0,4219.0,743.0,154.0,0.1
BA,51,degree,0.01,6.0,10.0,1.0,1.0,679.0,0.981,19354.0,0.985,7054.0,6069.0,976.0,187.0,0.01
BA,51,degree,0.05,8.0,15.0,1.0,1.0,517.0,0.889,17094.0,0.923,6280.0,5357.0,884.0,154.0,0.05
BA,51,degree,0.1,18.0,34.0,1.0,1.0,323.0,0.74,14171.0,0.825,5325.0,4500.0,735.0,191.0,0.1
BA,51,eigenvector,0.01,6.0,10.0,1.0,1.0,672.0,0.974,19987.0,0.983,7427.0,6444.0,969.0,140.0,0.01
BA,51,eigenvector,0.05,8.0,14.0,1.0,1.0,602.0,0.915,18730.0,0.937,6347.0,5410.0,910.0,204.0,0.05
BA,51,eigenvector,0.1,8.0,16.0,1.0,1.0,518.0,0.823,16525.0,0.866,5550.0,4684.0,818.0,144.0,0.1
BA,51,kcore,0.01,5.0,9.0,1.0,1.0,688.0,0.978,19672.0,0.985,7094.0,6109.0,973.0,130.0,0.01
BA,51,kcore,0.05,8.0,16.0,1.0,1.0,559.0,0.895,18502.0,0.927,5996.0,5069.0,890.0,234.0,0.05
BA,51,kcore,0.1,15.0,33.0,1.0,1.0,320.0,0.748,15080.0,0.829,5185.0,4356.0,743.0,158.0,0.1
BA,51,pagerank,0.01,8.0,12.0,1.0,1.0,684.0,0.974,19875.0,0.985,7366.0,6381.0,969.0,134.0,0.01
BA,51,pagerank,0.05,7.0,14.0,1.0,1.0,529.0,0.886,17668.0,0.926,6127.0,5201.0,881.0,147.0,0.05
BA,51,pagerank,0.1,16.0,36.0,1.0,1.0,300.0,0.757,15025.0,0.826,5293.0,4467.0,752.0,206.0,0.1
BA,51,random,0.01,5.0,8.0,1.0,1.0,729.0,0.98,19387.0,0.985,7377.0,6392.0,975.0,202.0,0.01
BA,51,random,0.05,5.0,8.0,1.0,1.0,686.0,0.94,18580.0,0.945,6926.0,5981.0,935.0,206.0,0.05
BA,51,random,0.1,6.0,9.0,1.0,1.0,660.0,0.889,17526.0,0.895,6515.0,5620.0,884.0,154.0,0.1
BA,52,betweenness,0.01,6.0,10.0,1.0,1.0,658.0,0.971,19001.0,0.985,7067.0,6082.0,966.0,165.0,0.01
BA,52,betweenness,0.05,7.0,14.0,1.0,1.0,534.0,0.893,17714.0,0.926,6504.0,5578.0,888.0,154.0,0.05
BA,52,betweenness,0.1,18.0,30.0,1.0,1.0,409.0,0.792,14912.0,0.846,5435.0,4589.0,787.0,178.0,0.1
BA,52,collective_influence,0.01,5.0,9.0,1.0,1.0,652.0,0.961,17903.0,0.984,7199.0,6215.0,956.0,153.0,0.01
BA,52,collective_influence,0.05,9.0,16.0,1.0,1.0,579.0,0.901,18385.0,0.923,6051.0,5128.0,896.0,192.0,0.05
BA,52,collective_influence,0.1,14.0,26.0,1.0,1.0,434.0,0.755,15302.0,0.816,5010.0,4194.0,750.0,147.0,0.1
BA,52,community_bridge,0.01,6.0,11.0,1.0,1.0,696.0,0.977,20004.0,0.983,7062.0,6079.0,972.0,195.0,0.01
BA,52,community_bridge,0.05,10.0,17.0,1.0,1.0,539.0,0.883,18308.0,0.923,6149.0,5226.0,878.0,220.0,0.05
BA,52,community_bridge,0.1,19.0,32.0,1.0,1.0,396.0,0.77,14889.0,0.823,5208.0,4385.0,765.0,133.0,0.1
BA,52,degree,0.01,5.0,10.0,1.0,1.0,700.0,0.972,20166.0,0.983,7205.0,6222.0,967.0,145.0,0.01
BA,52,degree,0.05,8.0,16.0,1.0,1.0,535.0,0.887,17725.0,0.923,6214.0,5291.0,882.0,170.0,0.05
BA,52,degree,0.1,19.0,33.0,1.0,1.0,357.0,0.76,14620.0,0.825,5373.0,4548.0,755.0,150.0,0.1
BA,52,eigenvector,0.01,6.0,10.0,1.0,1.0,665.0,0.98,18940.0,0.984,6930.0,5946.0,975.0,123.0,0.01
BA,52,eigenvector,0.05,9.0,15.0,1.0,1.0,577.0,0.888,18074.0,0.927,6497.0,5570.0,883.0,169.0,0.05
BA,52,eigenvector,0.1,11.0,18.0,1.0,1.0,488.0,0.827,16763.0,0.86,5342.0,4482.0,822.0,195.0,0.1
BA,52,kcore,0.01,8.0,11.0,1.0,1.0,691.0,0.977,18750.0,0.983,6890.0,5907.0,972.0,147.0,0.01
BA,52,kcore,0.05,11.0,19.0,1.0,1.0,530.0,0.892,18507.0,0.923,6314.0,5391.0,887.0,214.0,0.05
BA,52,kcore,0.1,13.0,27.0,1.0,1.0,346.0,0.75,14481.0,0.821,5262.0,4441.0,745.0,164.0,0.1
BA,52,pagerank,0.01,6.0,10.0,1.0,1.0,691.0,0.975,19984.0,0.985,6923.0,5938.0,970.0,151.0,0.01
BA,52,pagerank,0.05,11.0,19.0,1.0,1.0,507.0,0.879,17268.0,0.921,6194.0,5273.0,874.0,158.0,0.05
BA,52,pagerank,0.1,11.0,22.0,1.0,1.0,427.0,0.795,18014.0,0.83,5291.0,4461.0,790.0,181.0,0.1
BA,52,random,0.01,3.0,6.0,1.0,1.0,737.0,0.987,20783.0,0.985,7473.0,6488.0,982.0,147.0,0.01
BA,52,random,0.05,4.0,7.0,1.0,1.0,662.0,0.94,18210.0,0.945,6797.0,5852.0,935.0,176.0,0.05
BA,52,random,0.1,5.0,8.0,1.0,1.0,637.0,0.889,17974.0,0.895,6496.0,5601.0,884.0,144.0,0.1
BA,53,betweenness,0.01,5.0,9.0,1.0,1.0,707.0,0.971,19496.0,0.983,7125.0,6142.0,966.0,153.0,0.01
BA,53,betweenness,0.05,10.0,18.0,1.0,1.0,514.0,0.879,16737.0,0.923,6103.0,5180.0,874.0,148.0,0.05
BA,53,betweenness,0.1,11.0,21.0,1.0,1.0,437.0,0.773,15643.0,0.855,5282.0,4427.0,768.0,165.0,0.1
BA,53,collective_influence,0.01,6.0,10.0,1.0,1.0,711.0,0.975,19607.0,0.983,7162.0,6179.0,970.0,125.0,0.01
BA,53,collective_influence,0.05,8.0,14.0,1.0,1.0,546.0,0.891,16815.0,0.924,5832.0,4908.0,886.0,123.0,0.05
BA,53,collective_influence,0.1,14.0,27.0,1.0,1.0,349.0,0.768,15186.0,0.824,5249.0,4425.0,763.0,151.0,0.1
BA,53,community_bridge,0.01,6.0,10.0,1.0,1.0,675.0,0.98,20093.0,0.983,6990.0,6007.0,975.0,182.0,0.01
BA,53,community_bridge,0.05,9.0,16.0,1.0,1.0,524.0,0.883,17642.0,0.923,6347.0,5424.0,878.0,160.0,0.05
BA,53,community_bridge,0.1,19.0,33.0,1.0,1.0,365.0,0.782,15271.0,0.836,5235.0,4399.0,777.0,164.0,0.1
BA,53,degree,0.01,7.0,12.0,1.0,1.0,681.0,0.968,19606.0,0.983,7404.0,6421.0,963.0,123.0,0.01
BA,53,degree,0.05,11.0,19.0,1.0,1.0,526.0,0.899,17058.0,0.923,5952.0,5029.0,894.0,135.0,0.05
BA,53,degree,0.1,14.0,29.0,1.0,1.0,410.0,0.786,15597.0,0.847,5350.0,4503.0,781.0,145.0,0.1
BA,53,eigenvector,0.01,5.0,9.0,1.0,1.0,716.0,0.977,19177.0,0.983,6708.0,5725.0,972.0,145.0,0.01
BA,53,eigenvector,0.05,8.0,15.0,1.0,1.0,554.0,0.914,18241.0,0.938,6261.0,5323.0,909.0,139.0,0.05
BA,53,eigenvector,0.1,12.0,20.0,1.0,1.0,485.0,0.816,16460.0,0.861,5922.0,5061.0,811.0,145.0,0.1
BA,53,kcore,0.01,7.0,11.0,1.0,1.0,689.0,0.977,19563.0,0.983,7076.0,6093.0,972.0,175.0,0.01
BA,53,kcore,0.05,7.0,13.0,1.0,1.0,539.0,0.888,18070.0,0.924,5967.0,5043.0,883.0,152.0,0.05
BA,53,kcore,0.1,15.0,30.0,1.0,1.0,356.0,0.76,15365.0,0.831,5296.0,4465.0,755.0,197.0,0.1
BA,53,pagerank,0.01,7.0,10.0,1.0,1.0,660.0,0.971,18696.0,0.984,7531.0,6547.0,966.0,153.0,0.01
BA,53,pagerank,0.05,11.0,18.0,1.0,1.0,573.0,0.892,18066.0,0.928,6117.0,5189.0,887.0,163.0,0.05
BA,53,pagerank,0.1,15.0,28.0,1.0,1.0,368.0,0.77,15397.0,0.831,5088.0,4257.0,765.0,145.0,0.1
BA,53,random,0.01,4.0,7.0,1.0,1.0,717.0,0.984,19268.0,0.985,7453.0,6468.0,979.0,136.0,0.01
BA,53,random,0.05,6.0,9.0,1.0,1.0,675.0,0.941,18926.0,0.945,6937.0,5992.0,936.0,143.0,0.05
BA,53,random,0.1,5.0,9.0,1.0,1.0,645.0,0.889,17409.0,0.895,6253.0,5358.0,884.0,133.0,0.1
BA,54,betweenness,0.01,5.0,9.0,1.0,1.0,656.0,0.977,19777.0,0.985,7003.0,6018.0,972.0,154.0,0.01
BA,54,betweenness,0.05,8.0,15.0,1.0,1.0,536.0,0.883,18088.0,0.931,6190.0,5259.0,878.0,168.0,0.05
BA,54,betweenness,0.1,16.0,27.0,1.0,1.0,425.0,0.782,15595.0,0.849,5559.0,4710.0,777.0,144.0,0.1
BA,54,collective_influence,0.01,6.0,10.0,1.0,1.0,663.0,0.979,19075.0,0.985,7289.0,6304.0,974.0,146.0,0.01
BA,54,collective_influence,0.05,9.0,15.0,1.0,1.0,573.0,0.908,18493.0,0.931,6130.0,5199.0,903.0,159.0,0.05
BA,54,collective_influence,0.1,13.0,27.0,1.0,1.0,394.0,0.781,15574.0,0.839,5481.0,4642.0,776.0,178.0,0.1
BA,54,community_bridge,0.01,8.0,12.0,1.0,1.0,680.0,0.97,18950.0,0.984,7029.0,6045.0,965.0,145.0,0.01
BA,54,community_bridge,0.05,8.0,16.0,1.0,1.0,528.0,0.879,17559.0,0.926,6269.0,5343.0,874.0,171.0,0.05
BA,54,community_bridge,0.1,12.0,27.0,1.0,1.0,404.0,0.788,15784.0,0.835,5116.0,4281.0,783.0,197.0,0.1
BA,54,degree,0.01,6.0,9.0,1.0,1.0,657.0,0.971,18077.0,0.985,6944.0,5959.0,966.0,161.0,0.01
BA,54,degree,0.05,10.0,18.0,1.0,1.0,541.0,0.895,18181.0,0.926,6238.0,5312.0,890.0,171.0,0.05
BA,54,degree,0.1,12.0,28.0,1.0,1.0,370.0,0.747,14575.0,0.811,5180.0,4369.0,742.0,179.0,0.1
BA,54,eigenvector,0.01,5.0,9.0,1.0,1.0,713.0,0.977,20182.0,0.985,7119.0,6134.0,972.0,146.0,0.01
BA,54,eigenvector,0.05,8.0,13.0,1.0,1.0,543.0,0.903,18007.0,0.931,6577.0,5646.0,898.0,150.0,0.05
BA,54,eigenvector,0.1,9.0,17.0,1.0,1.0,506.0,0.836,15801.0,0.874,5835.0,4961.0,831.0,156.0,0.1
BA,54,kcore,0.01,6.0,11.0,1.0,1.0,682.0,0.981,20182.0,0.985,7221.0,6236.0,976.0,133.0,0.01
BA,54,kcore,0.05,10.0,17.0,1.0,1.0,524.0,0.891,17287.0,0.931,6218.0,5287.0,886.0,157.0,0.05
BA,54,kcore,0.1,16.0,32.0,1.0,1.0,362.0,0.754,15219.0,0.819,5009.0,4190.0,749.0,166.0,0.1
BA,54,pagerank,0.01,11.0,15.0,1.0,1.0,674.0,0.974,19410.0,0.985,6665.0,5680.0,969.0,142.0,0.01
BA,54,pagerank,0.05,14.0,22.0,1.0,1.0,550.0,0.89,18961.0,0.928,6380.0,5452.0,885.0,190.0,0.05
BA,54,pagerank,0.1,13.0,28.0,1.0,1.0,387.0,0.777,16490.0,0.823,5219.0,4396.0,772.0,174.0,0.1
BA,54,random,0.01,4.0,7.0,1.0,1.0,739.0,0.985,19332.0,0.985,7721.0,6736.0,980.0,136.0,0.01
BA,54,random,0.05,6.0,9.0,1.0,1.0,689.0,0.94,19831.0,0.945,7034.0,6089.0,935.0,150.0,0.05
BA,54,random,0.1,4.0,8.0,1.0,1.0,619.0,0.882,16834.0,0.894,6969.0,6075.0,877.0,129.0,0.1
BA,55,betweenness,0.01,6.0,10.0,1.0,1.0,653.0,0.97,18509.0,0.985,7095.0,6110.0,965.0,161.0,0.01
BA,55,betweenness,0.05,11.0,19.0,1.0,1.0,523.0,0.893,17452.0,0.929,6540.0,5611.0,888.0,138.0,0.05
BA,55,betweenness,0.1,14.0,29.0,1.0,1.0,367.0,0.784,15854.0,0.836,5549.0,4713.0,779.0,158.0,0.1
BA,55,collective_influence,0.01,6.0,10.0,1.0,1.0,697.0,0.98,20323.0,0.985,6858.0,5873.0,975.0,130.0,0.01
BA,55,collective_influence,0.05,8.0,15.0,1.0,1.0,529.0,0.902,18133.0,0.933,6089.0,5156.0,897.0,162.0,0.05
BA,55,collective_influence,0.1,14.0,27.0,1.0,1.0,384.0,0.757,15713.0,0.82,5311.0,4491.0,752.0,152.0,0.1
BA,55,community_bridge,0.01,6.0,10.0,1.0,1.0,688.0,0.98,20188.0,0.985,6982.0,5997.0,975.0,163.0,0.01
BA,55,community_bridge,0.05,11.0,19.0,1.0,1.0,532.0,0.891,16854.0,0.932,6326.0,5394.0,886.0,148.0,0.05
BA,55,community_bridge,0.1,14.0,27.0,1.0,1.0,369.0,0.751,15585.0,0.819,5101.0,4282.0,746.0,231.0,0.1
BA,55,degree,0.01,5.0,9.0,1.0,1.0,689.0,0.978,19859.0,0.985,6727.0,5742.0,973.0,160.0,0.01
BA,55,degree,0.05,9.0,17.0,1.0,1.0,526.0,0.894,17364.0,0.931,6326.0,5395.0,889.0,152.0,0.05
BA,55,degree,0.1,14.0,29.0,1.0,1.0,371.0,0.751,15008.0,0.804,4995.0,4191.0,746.0,208.0,0.1
BA,55,eigenvector,0.01,5.0,10.0,1.0,1.0,673.0,0.971,18772.0,0.985,7175.0,6190.0,966.0,148.0,0.01
BA,55,eigenvector,0.05,9.0,15.0,1.0,1.0,578.0,0.913,18641.0,0.931,6283.0,5352.0,908.0,137.0,0.05
BA,55,eigenvector,0.1,9.0,18.0,1.0,1.0,498.0,0.819,16880.0,0.866,5598.0,4732.0,814.0,159.0,0.1
BA,55,kcore,0.01,5.0,10.0,1.0,1.0,692.0,0.975,20283.0,0.985,7547.0,6562.0,970.0,159.0,0.01
BA,55,kcore,0.05,10.0,17.0,1.0,1.0,535.0,0.884,17699.0,0.933,6383.0,5450.0,879.0,205.0,0.05
BA,55,kcore,0.1,11.0,25.0,1.0,1.0,352.0,0.734,14394.0,0.803,4966.0,4163.0,729.0,162.0,0.1
BA,55,pagerank,0.01,6.0,10.0,1.0,1.0,671.0,0.979,19549.0,0.985,6809.0,5824.0,974.0,135.0,0.01
BA,55,pagerank,0.05,8.0,16.0,1.0,1.0,534.0,0.893,17485.0,0.929,6221.0,5292.0,888.0,162.0,0.05
BA,55,pagerank,0.1,14.0,28.0,1.0,1.0,371.0,0.739,14007.0,0.816,4910.0,4094.0,734.0,136.0,0.1
BA,55,random,0.01,4.0,6.0,1.0,1.0,729.0,0.984,20726.0,0.985,6915.0,5930.0,979.0,163.0,0.01
BA,55,random,0.05,6.0,9.0,1.0,1.0,671.0,0.935,17917.0,0.945,6905.0,5960.0,930.0,211.0,0.05
BA,55,random,0.1,7.0,10.0,1.0,1.0,614.0,0.886,18616.0,0.893,6633.0,5740.0,881.0,157.0,0.1
BA,56,betweenness,0.01,5.0,9.0,1.0,1.0,705.0,0.975,20394.0,0.984,6803.0,5819.0,970.0,164.0,0.01
BA,56,betweenness,0.05,9.0,16.0,1.0,1.0,540.0,0.909,17844.0,0.931,6115.0,5184.0,904.0,197.0,0.05
BA,56,betweenness,0.1,16.0,27.0,1.0,1.0,450.0,0.797,16663.0,0.852,5480.0,4628.0,792.0,141.0,0.1
BA,56,collective_influence,0.01,6.0,10.0,1.0,1.0,668.0,0.977,19620.0,0.985,7389.0,6404.0,972.0,175.0,0.01
BA,56,collective_influence,0.05,8.0,14.0,1.0,1.0,558.0,0.906,18356.0,0.931,5830.0,4899.0,901.0,223.0,0.05
BA,56,collective_influence,0.1,11.0,25.0,1.0,1.0,386.0,0.77,15111.0,0.826,5181.0,4355.0,765.0,166.0,0.1
BA,56,community_bridge,0.01,5.0,9.0,1.0,1.0,658.0,0.977,18787.0,0.985,7243.0,6258.0,972.0,121.0,0.01
