topology,trial,strategy,fraction,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
BA,1,random,0.01,4.0,7.0,1.0,1.0,721.0,0.98,19251.0,0.985,7767.0,6782.0,975.0,138.0,0.01
BA,1,random,0.05,5.0,8.0,1.0,1.0,683.0,0.943,18757.0,0.945,6692.0,5747.0,938.0,129.0,0.05
BA,1,random,0.1,5.0,9.0,1.0,1.0,654.0,0.888,18133.0,0.895,6746.0,5851.0,883.0,178.0,0.1
BA,2,betweenness,0.01,4.0,8.0,1.0,1.0,701.0,0.981,19751.0,0.984,7389.0,6405.0,976.0,149.0,0.01
BA,2,betweenness,0.05,7.0,16.0,1.0,1.0,530.0,0.89,17803.0,0.924,6333.0,5409.0,885.0,148.0,0.05
BA,2,betweenness,0.1,16.0,28.0,1.0,1.0,414.0,0.786,16386.0,0.834,5182.0,4348.0,781.0,184.0,0.1
BA,2,collective_influence,0.01,8.0,12.0,1.0,1.0,671.0,0.978,20648.0,0.985,7174.0,6189.0,973.0,153.0,0.01
BA,2,collective_influence,0.05,8.0,15.0,1.0,1.0,532.0,0.886,18044.0,0.924,6358.0,5434.0,881.0,146.0,0.05
BA,2,collective_influence,0.1,19.0,33.0,1.0,1.0,364.0,0.74,14698.0,0.802,4943.0,4141.0,735.0,148.0,0.1
BA,2,community_bridge,0.01,6.0,10.0,1.0,1.0,645.0,0.966,18656.0,0.984,7055.0,6071.0,961.0,151.0,0.01
BA,2,community_bridge,0.05,12.0,19.0,1.0,1.0,588.0,0.893,18143.0,0.925,6116.0,5191.0,888.0,167.0,0.05
BA,2,community_bridge,0.1,17.0,31.0,1.0,1.0,361.0,0.741,14641.0,0.807,4891.0,4084.0,736.0,158.0,0.1
BA,2,degree,0.01,5.0,9.0,1.0,1.0,683.0,0.973,19177.0,0.985,7456.0,6471.0,968.0,142.0,0.01
BA,2,degree,0.05,10.0,18.0,1.0,1.0,518.0,0.888,18032.0,0.924,6236.0,5312.0,883.0,163.0,0.05
BA,2,degree,0.1,12.0,27.0,1.0,1.0,340.0,0.735,14074.0,0.808,5434.0,4626.0,730.0,157.0,0.1
BA,2,eigenvector,0.01,7.0,11.0,1.0,1.0,698.0,0.977,19993.0,0.985,7021.0,6036.0,972.0,141.0,0.01
BA,2,eigenvector,0.05,8.0,14.0,1.0,1.0,575.0,0.891,17672.0,0.928,6177.0,5249.0,886.0,146.0,0.05
BA,2,eigenvector,0.1,8.0,17.0,1.0,1.0,475.0,0.802,16151.0,0.859,5254.0,4395.0,797.0,187.0,0.1
BA,2,kcore,0.01,8.0,13.0,1.0,1.0,685.0,0.975,20337.0,0.985,7204.0,6219.0,970.0,205.0,0.01
BA,2,kcore,0.05,12.0,20.0,1.0,1.0,527.0,0.885,18011.0,0.927,6056.0,5129.0,880.0,177.0,0.05
BA,2,kcore,0.1,14.0,32.0,1.0,1.0,344.0,0.758,16032.0,0.812,5079.0,4267.0,753.0,156.0,0.1
BA,2,pagerank,0.01,7.0,11.0,1.0,1.0,648.0,0.97,19227.0,0.985,7134.0,6149.0,965.0,166.0,0.01
BA,2,pagerank,0.05,8.0,14.0,1.0,1.0,516.0,0.879,17547.0,0.921,6146.0,5225.0,874.0,153.0,0.05
BA,2,pagerank,0.1,13.0,30.0,1.0,1.0,309.0,0.73,14619.0,0.812,5004.0,4192.0,725.0,212.0,0.1
BA,2,random,0.01,5.0,8.0,1.0,1.0,737.0,0.985,21536.0,0.985,7384.0,6399.0,980.0,168.0,0.01
BA,2,random,0.05,5.0,8.0,1.0,1.0,687.0,0.949,19274.0,0.945,7381.0,6436.0,944.0,133.0,0.05
BA,2,random,0.1,5.0,8.0,1.0,1.0,636.0,0.893,18541.0,0.895,6575.0,5680.0,888.0,132.0,0.1
BA,3,betweenness,0.01,7.0,11.0,1.0,1.0,692.0,0.976,20891.0,0.985,6952.0,5967.0,971.0,149.0,0.01
BA,3,betweenness,0.05,11.0,19.0,1.0,1.0,518.0,0.895,17578.0,0.93,6394.0,5464.0,890.0,216.0,0.05
BA,3,betweenness,0.1,12.0,25.0,1.0,1.0,422.0,0.811,16025.0,0.856,5414.0,4558.0,806.0,215.0,0.1
BA,3,collective_influence,0.01,7.0,11.0,1.0,1.0,663.0,0.97,20097.0,0.984,7253.0,6269.0,965.0,171.0,0.01
BA,3,collective_influence,0.05,9.0,16.0,1.0,1.0,497.0,0.888,18330.0,0.928,6355.0,5427.0,883.0,172.0,0.05
BA,3,collective_influence,0.1,15.0,27.0,1.0,1.0,383.0,0.788,15350.0,0.837,5117.0,4280.0,783.0,134.0,0.1
BA,3,community_bridge,0.01,5.0,9.0,1.0,1.0,664.0,0.972,19535.0,0.984,7219.0,6235.0,967.0,138.0,0.01
BA,3,community_bridge,0.05,13.0,22.0,1.0,1.0,498.0,0.886,17823.0,0.922,6347.0,5425.0,881.0,176.0,0.05
BA,3,community_bridge,0.1,18.0,32.0,1.0,1.0,391.0,0.774,16070.0,0.835,5086.0,4251.0,769.0,197.0,0.1
BA,3,degree,0.01,7.0,11.0,1.0,1.0,691.0,0.974,18144.0,0.984,7013.0,6029.0,969.0,141.0,0.01
BA,3,degree,0.05,12.0,20.0,1.0,1.0,493.0,0.876,16126.0,0.922,6072.0,5150.0,871.0,115.0,0.05
BA,3,degree,0.1,19.0,35.0,1.0,1.0,374.0,0.781,15566.0,0.836,5233.0,4397.0,776.0,154.0,0.1
BA,3,eigenvector,0.01,6.0,10.0,1.0,1.0,655.0,0.979,19794.0,0.983,6989.0,6006.0,974.0,129.0,0.01
BA,3,eigenvector,0.05,7.0,14.0,1.0,1.0,583.0,0.903,18082.0,0.935,6193.0,5258.0,898.0,201.0,0.05
BA,3,eigenvector,0.1,12.0,20.0,1.0,1.0,538.0,0.848,18010.0,0.876,5685.0,4809.0,843.0,170.0,0.1
BA,3,kcore,0.01,6.0,10.0,1.0,1.0,652.0,0.964,19600.0,0.984,7201.0,6217.0,959.0,219.0,0.01
BA,3,kcore,0.05,11.0,19.0,1.0,1.0,545.0,0.899,18114.0,0.928,6209.0,5281.0,894.0,155.0,0.05
BA,3,kcore,0.1,38.0,55.0,1.0,1.0,319.0,0.749,14037.0,0.828,5049.0,4221.0,744.0,171.0,0.1
BA,3,pagerank,0.01,6.0,11.0,1.0,1.0,674.0,0.971,18878.0,0.984,7197.0,6213.0,966.0,227.0,0.01
BA,3,pagerank,0.05,9.0,17.0,1.0,1.0,545.0,0.894,17342.0,0.923,6173.0,5250.0,889.0,173.0,0.05
BA,3,pagerank,0.1,18.0,35.0,1.0,1.0,365.0,0.745,14830.0,0.817,5043.0,4226.0,740.0,133.0,0.1
BA,3,random,0.01,4.0,7.0,1.0,1.0,739.0,0.985,20761.0,0.985,7205.0,6220.0,980.0,192.0,0.01
BA,3,random,0.05,6.0,10.0,1.0,1.0,703.0,0.947,19812.0,0.945,7093.0,6148.0,942.0,171.0,0.05
BA,3,random,0.1,4.0,8.0,1.0,1.0,610.0,0.886,17419.0,0.895,6726.0,5831.0,881.0,143.0,0.1
BA,4,betweenness,0.01,6.0,10.0,1.0,1.0,676.0,0.975,19377.0,0.984,6992.0,6008.0,970.0,160.0,0.01
BA,4,betweenness,0.05,8.0,15.0,1.0,1.0,558.0,0.902,18429.0,0.935,6054.0,5119.0,897.0,156.0,0.05
BA,4,betweenness,0.1,12.0,22.0,1.0,1.0,440.0,0.785,15855.0,0.844,5147.0,4303.0,780.0,177.0,0.1
BA,4,collective_influence,0.01,5.0,9.0,1.0,1.0,685.0,0.979,19039.0,0.984,6979.0,5995.0,974.0,136.0,0.01
BA,4,collective_influence,0.05,14.0,22.0,1.0,1.0,548.0,0.895,17748.0,0.93,6398.0,5468.0,890.0,165.0,0.05
BA,4,collective_influence,0.1,12.0,27.0,1.0,1.0,357.0,0.741,15154.0,0.813,5265.0,4452.0,736.0,200.0,0.1
BA,4,community_bridge,0.01,5.0,9.0,1.0,1.0,695.0,0.978,18841.0,0.984,6966.0,5982.0,973.0,130.0,0.01
BA,4,community_bridge,0.05,9.0,16.0,1.0,1.0,534.0,0.892,18518.0,0.925,6225.0,5300.0,887.0,182.0,0.05
BA,4,community_bridge,0.1,13.0,25.0,1.0,1.0,408.0,0.782,15304.0,0.842,5203.0,4361.0,777.0,141.0,0.1
BA,4,degree,0.01,5.0,10.0,1.0,1.0,715.0,0.971,21162.0,0.984,7268.0,6284.0,966.0,150.0,0.01
BA,4,degree,0.05,9.0,17.0,1.0,1.0,503.0,0.889,17937.0,0.925,6268.0,5343.0,884.0,132.0,0.05
BA,4,degree,0.1,12.0,28.0,1.0,1.0,379.0,0.786,16189.0,0.834,5184.0,4350.0,781.0,171.0,0.1
