topology,trial,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
WS,48,7.0,15.0,1.0,1.0,643.0,1.0,20484.0,0.995,7677.0,6682.0,995.0,159.0,0.0
WS,49,10.0,20.0,1.0,1.0,611.0,1.0,19250.0,0.995,7754.0,6759.0,995.0,173.0,0.0
WS,50,9.0,16.0,1.0,1.0,612.0,1.0,19092.0,0.995,7556.0,6561.0,995.0,156.0,0.0
WS,51,10.0,17.0,1.0,1.0,663.0,1.0,20329.0,0.995,7414.0,6419.0,995.0,154.0,0.0
WS,52,8.0,15.0,1.0,1.0,639.0,1.0,19730.0,0.995,7395.0,6400.0,995.0,198.0,0.0
WS,53,7.0,15.0,1.0,1.0,612.0,1.0,19374.0,0.995,7274.0,6279.0,995.0,136.0,0.0
WS,54,7.0,15.0,1.0,1.0,686.0,1.0,20837.0,0.995,7516.0,6521.0,995.0,144.0,0.0
WS,55,9.0,17.0,1.0,1.0,651.0,1.0,19386.0,0.995,7832.0,6837.0,995.0,175.0,0.0
WS,56,8.0,17.0,1.0,1.0,623.0,1.0,19832.0,0.995,7777.0,6782.0,995.0,158.0,0.0
WS,57,8.0,16.0,1.0,1.0,613.0,1.0,20704.0,0.995,7398.0,6403.0,995.0,242.0,0.0
WS,58,7.0,16.0,1.0,1.0,641.0,1.0,19906.0,0.995,7447.0,6452.0,995.0,138.0,0.0
WS,59,8.0,17.0,1.0,1.0,616.0,1.0,20860.0,0.995,7825.0,6830.0,995.0,155.0,0.0
WS,60,7.0,15.0,1.0,1.0,613.0,1.0,19844.0,0.995,7831.0,6836.0,995.0,137.0,0.0
WS,61,8.0,15.0,1.0,1.0,633.0,1.0,20056.0,0.995,7476.0,6481.0,995.0,157.0,0.0
WS,62,7.0,15.0,1.0,1.0,614.0,0.998,19729.0,0.995,7196.0,6201.0,993.0,150.0,0.0
WS,63,9.0,18.0,1.0,1.0,614.0,1.0,19373.0,0.995,7650.0,6655.0,995.0,142.0,0.0
WS,64,7.0,14.0,1.0,1.0,605.0,0.999,19745.0,0.995,7139.0,6144.0,994.0,154.0,0.0
WS,65,7.0,15.0,1.0,1.0,646.0,1.0,20020.0,0.995,7594.0,6599.0,995.0,198.0,0.0
WS,66,7.0,14.0,1.0,1.0,651.0,1.0,19942.0,0.995,7636.0,6641.0,995.0,161.0,0.0
WS,67,8.0,16.0,1.0,1.0,678.0,1.0,20576.0,0.995,7420.0,6425.0,995.0,145.0,0.0
WS,68,9.0,17.0,1.0,1.0,663.0,1.0,20706.0,0.995,7376.0,6381.0,995.0,164.0,0.0
WS,69,7.0,15.0,1.0,1.0,636.0,1.0,20798.0,0.995,7468.0,6473.0,995.0,175.0,0.0
WS,70,8.0,16.0,1.0,1.0,634.0,1.0,18259.0,0.995,7309.0,6314.0,995.0,147.0,0.0
WS,71,8.0,16.0,1.0,1.0,606.0,1.0,20022.0,0.995,7724.0,6729.0,995.0,181.0,0.0
WS,72,8.0,15.0,1.0,1.0,681.0,1.0,20856.0,0.995,7690.0,6695.0,995.0,172.0,0.0
WS,73,8.0,16.0,1.0,1.0,642.0,1.0,20313.0,0.995,7617.0,6622.0,995.0,143.0,0.0
WS,74,9.0,17.0,1.0,1.0,619.0,1.0,20542.0,0.995,7637.0,6642.0,995.0,153.0,0.0
WS,75,9.0,17.0,1.0,1.0,627.0,1.0,18469.0,0.995,7467.0,6472.0,995.0,142.0,0.0
WS,76,8.0,15.0,1.0,1.0,648.0,1.0,20750.0,0.995,7531.0,6536.0,995.0,174.0,0.0
WS,77,9.0,17.0,1.0,1.0,649.0,1.0,21001.0,0.995,7402.0,6407.0,995.0,194.0,0.0
WS,78,7.0,14.0,1.0,1.0,637.0,1.0,19417.0,0.995,7256.0,6261.0,995.0,138.0,0.0
WS,79,6.0,12.0,1.0,1.0,625.0,1.0,18693.0,0.995,7122.0,6127.0,995.0,113.0,0.0
WS,80,8.0,17.0,1.0,1.0,620.0,1.0,19613.0,0.995,7702.0,6707.0,995.0,166.0,0.0
WS,81,10.0,18.0,1.0,1.0,615.0,1.0,20427.0,0.995,7456.0,6461.0,995.0,186.0,0.0
WS,82,9.0,16.0,1.0,1.0,655.0,1.0,19495.0,0.995,7170.0,6175.0,995.0,161.0,0.0
WS,83,10.0,17.0,1.0,1.0,635.0,1.0,19790.0,0.995,7388.0,6393.0,995.0,158.0,0.0
WS,84,8.0,16.0,1.0,1.0,646.0,1.0,19833.0,0.995,7512.0,6517.0,995.0,159.0,0.0
WS,85,8.0,15.0,1.0,1.0,674.0,0.999,21407.0,0.995,7526.0,6531.0,994.0,193.0,0.0
WS,86,9.0,17.0,1.0,1.0,629.0,0.999,19086.0,0.995,7691.0,6696.0,994.0,146.0,0.0
WS,87,9.0,17.0,1.0,1.0,680.0,1.0,20706.0,0.995,7246.0,6251.0,995.0,178.0,0.0
WS,88,6.0,14.0,1.0,1.0,668.0,1.0,20515.0,0.995,7029.0,6034.0,995.0,161.0,0.0
WS,89,9.0,17.0,1.0,1.0,640.0,1.0,20995.0,0.995,7550.0,6555.0,995.0,196.0,0.0
WS,90,8.0,16.0,1.0,1.0,652.0,1.0,20160.0,0.995,7576.0,6581.0,995.0,161.0,0.0
WS,91,8.0,17.0,1.0,1.0,648.0,1.0,19881.0,0.995,7507.0,6512.0,995.0,161.0,0.0
WS,92,7.0,15.0,1.0,1.0,620.0,1.0,19304.0,0.995,7366.0,6371.0,995.0,138.0,0.0
WS,93,8.0,17.0,1.0,1.0,626.0,1.0,19864.0,0.995,7606.0,6611.0,995.0,200.0,0.0
WS,94,8.0,15.0,1.0,1.0,672.0,1.0,20948.0,0.995,7396.0,6401.0,995.0,196.0,0.0
WS,95,9.0,17.0,1.0,1.0,624.0,1.0,19617.0,0.995,7549.0,6554.0,995.0,148.0,0.0
WS,96,10.0,20.0,1.0,1.0,642.0,1.0,21377.0,0.995,7713.0,6718.0,995.0,158.0,0.0
WS,97,8.0,15.0,1.0,1.0,636.0,1.0,20309.0,0.995,7424.0,6429.0,995.0,169.0,0.0
WS,98,8.0,17.0,1.0,1.0,645.0,1.0,19784.0,0.995,7417.0,6422.0,995.0,151.0,0.0
WS,99,9.0,17.0,1.0,1.0,664.0,0.998,20873.0,0.995,7654.0,6659.0,993.0,160.0,0.0
