topology,n,edges,repeat,strategy,graph_seconds,ranking_seconds
BA,500,1491,0,degree,0.0062877999735064805,0.000812700018286705
BA,500,1491,0,betweenness,0.0062877999735064805,0.10948440001811832
BA,500,1491,0,pagerank,0.0062877999735064805,0.2911792000231799
BA,500,1491,0,eigenvector,0.0062877999735064805,0.016438899998320267
BA,500,1491,0,kcore,0.0062877999735064805,0.0018841999990399927
BA,500,1491,0,collective_influence,0.0062877999735064805,0.015688999992562458
BA,500,1491,0,community_bridge,0.0062877999735064805,0.16760869999416173
BA,500,1491,1,degree,0.004171299980953336,0.0004391999973449856
BA,500,1491,1,betweenness,0.004171299980953336,0.11575879997690208
BA,500,1491,1,pagerank,0.004171299980953336,0.27618310000980273
BA,500,1491,1,eigenvector,0.004171299980953336,0.015380799974082038
BA,500,1491,1,kcore,0.004171299980953336,0.0019172000174876302
BA,500,1491,1,collective_influence,0.004171299980953336,0.01593180000782013
BA,500,1491,1,community_bridge,0.004171299980953336,0.22899489998235367
BA,1000,2991,1,degree,0.006878500018501654,0.0012373000208754092
BA,1000,2991,1,betweenness,0.006878500018501654,0.238588800013531
BA,1000,2991,1,pagerank,0.006878500018501654,0.1941287999798078
BA,1000,2991,1,eigenvector,0.006878500018501654,0.03426829999079928
BA,1000,2991,1,kcore,0.006878500018501654,0.0036231999984011054
BA,1000,2991,1,collective_influence,0.006878500018501654,0.04817679998814128
BA,1000,2991,1,community_bridge,0.006878500018501654,0.6748767000099178
BA,1000,2991,0,degree,0.008081499981926754,0.0009332000045105815
BA,1000,2991,0,betweenness,0.008081499981926754,0.25365959998453036
BA,1000,2991,0,pagerank,0.008081499981926754,0.18569949999800883
BA,1000,2991,0,eigenvector,0.008081499981926754,0.03254039998864755
BA,1000,2991,0,kcore,0.008081499981926754,0.003703399997903034
BA,1000,2991,0,collective_influence,0.008081499981926754,0.046423699997831136
BA,1000,2991,0,community_bridge,0.008081499981926754,0.7769762000243645
WS,500,1500,0,degree,0.00195569999050349,0.0004267999902367592
WS,500,1500,0,betweenness,0.00195569999050349,0.09211589998449199
WS,500,1500,0,pagerank,0.00195569999050349,0.003627900005085394
WS,500,1500,0,eigenvector,0.00195569999050349,0.1765706999867689
WS,500,1500,0,kcore,0.00195569999050349,0.0013913000002503395
WS,500,1500,0,collective_influence,0.00195569999050349,0.0058905000041704625
WS,500,1500,0,community_bridge,0.00195569999050349,0.1256647999980487
WS,500,1500,1,degree,0.003564399987226352,0.0008245000208262354
WS,500,1500,1,betweenness,0.003564399987226352,0.13085260000661947
WS,500,1500,1,pagerank,0.003564399987226352,0.0035946999851148576
WS,500,1500,1,eigenvector,0.003564399987226352,0.12553040002239868
WS,500,1500,1,kcore,0.003564399987226352,0.0013689000043086708
WS,500,1500,1,collective_influence,0.003564399987226352,0.006630399991990998
WS,500,1500,1,community_bridge,0.003564399987226352,0.14047079998999834
WS,1000,3000,0,degree,0.003580099990358576,0.0017328000103589147
WS,1000,3000,0,betweenness,0.003580099990358576,0.2537597000191454
WS,1000,3000,0,pagerank,0.003580099990358576,0.00560200001928024
WS,1000,3000,0,eigenvector,0.003580099990358576,0.43048489998909645
WS,1000,3000,0,kcore,0.003580099990358576,0.002827599993906915
WS,1000,3000,0,collective_influence,0.003580099990358576,0.011958599992794916
