topology,trial,strategy,ranking_seconds,n,edges
BA,15,kcore,0.006955200020456687,1000,2991
BA,15,pagerank,0.010344799986341968,1000,2991
BA,16,betweenness,0.32785669999429956,1000,2991
BA,16,collective_influence,0.0697855000034906,1000,2991
BA,16,community_bridge,1.154536799993366,1000,2991
BA,16,degree,0.0016894000000320375,1000,2991
BA,16,eigenvector,0.06844150001415983,1000,2991
BA,16,kcore,0.006482999975560233,1000,2991
BA,16,pagerank,0.009561000013491139,1000,2991
BA,17,betweenness,0.2667215999972541,1000,2991
BA,17,collective_influence,0.052613800013205037,1000,2991
BA,17,community_bridge,0.9168602999998257,1000,2991
BA,17,degree,0.0017274999991059303,1000,2991
BA,17,eigenvector,0.06796869999379851,1000,2991
BA,17,kcore,0.02722310001263395,1000,2991
BA,17,pagerank,0.007897899980889633,1000,2991
BA,18,betweenness,0.39268360001733527,1000,2991
BA,18,collective_influence,0.05933220000588335,1000,2991
BA,18,community_bridge,0.8465700999950059,1000,2991
BA,18,degree,0.0020058000227436423,1000,2991
BA,18,eigenvector,0.03828130001784302,1000,2991
BA,18,kcore,0.006464699981734157,1000,2991
BA,18,pagerank,0.009299500001361594,1000,2991
BA,19,betweenness,0.3996136000205297,1000,2991
BA,19,collective_influence,0.06382729997858405,1000,2991
BA,19,community_bridge,0.870326300006127,1000,2991
BA,19,degree,0.001755199977196753,1000,2991
BA,19,eigenvector,0.032887999986996874,1000,2991
BA,19,kcore,0.0036355000047478825,1000,2991
BA,19,pagerank,0.005540500016650185,1000,2991
BA,20,betweenness,0.35143750000861473,1000,2991
BA,20,collective_influence,0.03630789997987449,1000,2991
BA,20,community_bridge,0.8318117999879178,1000,2991
BA,20,degree,0.0010211000044364482,1000,2991
BA,20,eigenvector,0.05114160000812262,1000,2991
BA,20,kcore,0.003272100002504885,1000,2991
BA,20,pagerank,0.007861799997044727,1000,2991
BA,21,betweenness,0.36717710000812076,1000,2991
BA,21,collective_influence,0.05687029997352511,1000,2991
BA,21,community_bridge,0.874148700007936,1000,2991
BA,21,degree,0.0015708999999333173,1000,2991
BA,21,eigenvector,0.06842100000358187,1000,2991
BA,21,kcore,0.00660350001999177,1000,2991
BA,21,pagerank,0.009631299995817244,1000,2991
BA,22,betweenness,0.310321600001771,1000,2991
BA,22,collective_influence,0.06383659999119118,1000,2991
BA,22,community_bridge,0.8454233999946155,1000,2991
BA,22,degree,0.0008771000138949603,1000,2991
BA,22,eigenvector,0.0530309000168927,1000,2991
BA,22,kcore,0.006704900006297976,1000,2991
BA,22,pagerank,0.0067263999953866005,1000,2991
BA,23,betweenness,0.3529604999930598,1000,2991
BA,23,collective_influence,0.061444399994798005,1000,2991
BA,23,community_bridge,0.9585041999816895,1000,2991
BA,23,degree,0.0010201999975834042,1000,2991
BA,23,eigenvector,0.048192699992796406,1000,2991
BA,23,kcore,0.003491100011160597,1000,2991
BA,23,pagerank,0.006948599999304861,1000,2991
BA,24,betweenness,0.2573536999989301,1000,2991
BA,24,collective_influence,0.040310799988219514,1000,2991
BA,24,community_bridge,0.7015515999810304,1000,2991
BA,24,degree,0.0008781999931670725,1000,2991
BA,24,eigenvector,0.030047400010516867,1000,2991
BA,24,kcore,0.006388600013451651,1000,2991
BA,24,pagerank,0.006829199992353097,1000,2991
BA,25,betweenness,0.2590974000049755,1000,2991
BA,25,collective_influence,0.054085200012195855,1000,2991
BA,25,community_bridge,0.8590006999729667,1000,2991
BA,25,degree,0.0008683000050950795,1000,2991
BA,25,eigenvector,0.028239799983566627,1000,2991
BA,25,kcore,0.003263799997512251,1000,2991
BA,25,pagerank,0.005399399989983067,1000,2991
BA,26,betweenness,0.3254886000067927,1000,2991
BA,26,collective_influence,0.036891299998387694,1000,2991
BA,26,community_bridge,0.7089353000046685,1000,2991
BA,26,degree,0.001737599988700822,1000,2991
BA,26,eigenvector,0.04639649999444373,1000,2991
BA,26,kcore,0.0034937000018544495,1000,2991
BA,26,pagerank,0.00955919999978505,1000,2991
BA,27,betweenness,0.2452202000131365,1000,2991
BA,27,collective_influence,0.054600900009972975,1000,2991
BA,27,community_bridge,0.8007696999993641,1000,2991
BA,27,degree,0.0009616999886929989,1000,2991
BA,27,eigenvector,0.04355770000256598,1000,2991
BA,27,kcore,0.003281999990576878,1000,2991
BA,27,pagerank,0.009455999999772757,1000,2991
BA,28,betweenness,0.270948799996404,1000,2991
BA,28,collective_influence,0.036123700003372505,1000,2991
BA,28,community_bridge,0.8290773000044283,1000,2991
BA,28,degree,0.0008573999803047627,1000,2991
BA,28,eigenvector,0.03412029999890365,1000,2991
BA,28,kcore,0.003249800007324666,1000,2991
BA,28,pagerank,0.005813099996885285,1000,2991
BA,29,betweenness,0.26811770000495017,1000,2991
BA,29,collective_influence,0.04672139999456704,1000,2991
BA,29,community_bridge,0.890776599990204,1000,2991
BA,29,degree,0.001744099979987368,1000,2991
BA,29,eigenvector,0.04665080000995658,1000,2991
BA,29,kcore,0.005119499983265996,1000,2991
BA,29,pagerank,0.009564099978888407,1000,2991
BA,30,betweenness,0.2971932999789715,1000,2991
BA,30,collective_influence,0.06230170000344515,1000,2991
BA,30,community_bridge,0.8101527999970131,1000,2991
BA,30,degree,0.0017262999899685383,1000,2991
BA,30,eigenvector,0.05162090001977049,1000,2991
BA,30,kcore,0.005847699998412281,1000,2991
BA,30,pagerank,0.007712499995250255,1000,2991
BA,31,betweenness,0.2864846000156831,1000,2991
BA,31,collective_influence,0.048914300015894696,1000,2991
BA,31,community_bridge,0.9025757999916095,1000,2991
BA,31,degree,0.0017401999793946743,1000,2991
BA,31,eigenvector,0.04351000001770444,1000,2991
BA,31,kcore,0.003306800004793331,1000,2991
BA,31,pagerank,0.005900400021346286,1000,2991
BA,32,betweenness,0.31088949998957105,1000,2991
BA,32,collective_influence,0.057319699990330264,1000,2991
BA,32,community_bridge,0.908362499991199,1000,2991
BA,32,degree,0.0012441999861039221,1000,2991
