topology,trial,behavior,fraction,strategy,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
ER,5,strong,0.05,random,6.0,12.0,1.0,1.0,651.0,0.929,18812.0,0.938,8567.0,7629.0,924.0,180.0,0.05
ER,5,strong,0.05,degree,7.0,13.0,1.0,1.0,588.0,0.92,18055.0,0.937,8044.0,7107.0,915.0,173.0,0.05
ER,5,strong,0.05,betweenness,9.0,15.0,1.0,1.0,571.0,0.913,18782.0,0.94,9254.0,8314.0,908.0,167.0,0.05
ER,5,strong,0.05,kcore,8.0,15.0,1.0,1.0,558.0,0.907,18579.0,0.938,8978.0,8040.0,902.0,151.0,0.05
ER,5,strong,0.05,collective_influence,7.0,14.0,1.0,1.0,597.0,0.909,19598.0,0.938,9515.0,8577.0,904.0,137.0,0.05
ER,5,strong,0.05,community_bridge,10.0,16.0,1.0,1.0,604.0,0.917,18724.0,0.941,8867.0,7926.0,912.0,209.0,0.05
ER,5,degree_correlated,0.05,random,5.0,9.0,1.0,1.0,684.0,0.936,19393.0,0.939,5832.0,4893.0,931.0,188.0,0.05
ER,5,degree_correlated,0.05,degree,7.0,11.0,1.0,1.0,681.0,0.936,19443.0,0.938,6340.0,5402.0,931.0,205.0,0.05
ER,5,degree_correlated,0.05,betweenness,6.0,10.0,1.0,1.0,636.0,0.927,16880.0,0.939,6291.0,5352.0,922.0,123.0,0.05
ER,5,degree_correlated,0.05,kcore,9.0,14.0,1.0,1.0,623.0,0.925,17088.0,0.938,6410.0,5472.0,920.0,150.0,0.05
ER,5,degree_correlated,0.05,collective_influence,8.0,13.0,1.0,1.0,649.0,0.93,19028.0,0.939,6606.0,5667.0,925.0,147.0,0.05
ER,5,degree_correlated,0.05,community_bridge,7.0,12.0,1.0,1.0,645.0,0.929,19362.0,0.94,6301.0,5361.0,924.0,142.0,0.05
ER,2,homogeneous,0.05,random,7.0,11.0,1.0,1.0,678.0,0.935,19199.0,0.942,7106.0,6164.0,930.0,180.0,0.05
ER,2,homogeneous,0.05,degree,6.0,10.0,1.0,1.0,628.0,0.934,19106.0,0.94,6871.0,5931.0,929.0,133.0,0.05
ER,2,homogeneous,0.05,betweenness,7.0,12.0,1.0,1.0,669.0,0.935,19492.0,0.938,6917.0,5979.0,930.0,141.0,0.05
ER,2,homogeneous,0.05,kcore,8.0,13.0,1.0,1.0,659.0,0.929,18575.0,0.94,7115.0,6175.0,924.0,162.0,0.05
ER,2,homogeneous,0.05,collective_influence,9.0,14.0,1.0,1.0,637.0,0.935,17517.0,0.941,6840.0,5899.0,930.0,124.0,0.05
ER,2,homogeneous,0.05,community_bridge,7.0,12.0,1.0,1.0,654.0,0.936,20167.0,0.94,6770.0,5830.0,931.0,210.0,0.05
ER,2,moderate,0.05,random,10.0,14.0,1.0,1.0,676.0,0.939,18773.0,0.942,7252.0,6310.0,934.0,184.0,0.05
ER,2,moderate,0.05,degree,7.0,12.0,1.0,1.0,639.0,0.925,19761.0,0.939,7188.0,6249.0,920.0,148.0,0.05
