initial_spreaders,topology,beta,n_realizations,t10_mean,t10_sd,t50_mean,t50_sd,peak_infected_mean,peak_infected_sd,final_size_mean,final_size_sd,unique_exposed_fraction_mean,unique_exposed_fraction_sd,reached_50_mean,reached_50_sd
1,BA,0.15,20,7.0,1.8637822325921867,10.0,1.8637822325921867,736.2,16.25002024290237,0.9949499999999999,0.002799906013460191,0.9989999999999999,1.1390647892519134e-16,1.0,0.0
1,ER,0.15,20,8.95,1.1909748329127612,12.85,1.3869694338832113,718.9,11.782681314003549,0.9900499999999999,0.002837252191822224,0.9964999999999999,0.0017621756887140233,1.0,0.0
1,WS,0.15,20,13.85,2.3004576203785834,22.1,2.5526044491233284,635.45,29.123105314473158,0.99975,0.0007163503994113796,0.9989999999999999,1.1390647892519134e-16,1.0,0.0
5,BA,0.15,20,4.25,0.7163503994113789,7.25,0.7163503994113789,739.15,14.228492541376266,0.9943499999999998,0.00279614396135671,0.9950000000000001,1.1390647892519134e-16,1.0,0.0
5,ER,0.15,20,5.8,0.8944271909999159,10.05,1.0500626547722611,723.55,16.178201708667,0.9902,0.0036649118607912584,0.9924,0.0017888543819998333,1.0,0.0
5,WS,0.15,20,8.25,0.910465468000326,16.2,1.399247918291146,638.75,25.210430172325186,0.9997,0.00057124057057748,0.9950000000000001,1.1390647892519134e-16,1.0,0.0
10,BA,0.15,20,3.75,0.6386663736585051,6.65,0.7451598203705947,738.7,17.269077932292127,0.99565,0.0024553914898486277,0.9899999999999997,3.4171943677557405e-16,1.0,0.0
10,ER,0.15,20,4.65,0.4893604849295929,8.5,0.6882472016116853,728.0,15.30737696255254,0.9907,0.0024300747226977913,0.9875,0.0018209309360006536,1.0,0.0
10,WS,0.15,20,5.85,0.6708203932499369,13.25,1.2513150976809202,647.45,21.375034626010738,0.99985,0.0003663475485325236,0.9899999999999997,3.4171943677557405e-16,1.0,0.0
