strategy,mean,std,median,max
betweenness,0.35461826863000084,0.0819608627721738,0.31754344300000525,0.6959466679999764
collective_influence,0.03153469894000016,0.027954443778357665,0.01701329800000905,0.0988390730000219
community_bridge,0.7032640993166642,0.19240079738940666,0.6988661735000079,1.4652383879999888
degree,0.002889615809999053,0.010611156283167255,0.00069153100001525,0.0648784450000334
eigenvector,0.201963410966667,0.21582366615822443,0.08508933899999245,0.9879809839999892
kcore,0.006382339913335641,0.01392258234433179,0.0025260944999842497,0.0677167960000133
pagerank,0.02698771020666797,0.0807983135893579,0.00465874150000895,0.5748669710000058
